"full_name","gender","mfa_degree","role","prize_year","prize_name","prize_amount","prize_institution","prize_type","prize_genre","given_name","last_name","author_wikidata","author_wikidata_label","author_viaf","author_lccn","elite_institution","graduate_degree","iowa_mfa_person_id","stegner","title_of_winning_book"
"Emily Hiestand","female","","winner","1990","Whiting Award","50,000","Whiting Foundation","career","no genre","Emily","Hiestand","Q5372214","Emily Hiestand","68977475","n88276157","","","","",""
"Maxinehong Kingston","female","","winner","1990","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Maxinehong","Kingston","","","","","","","","",""
"May Swenson","female","","judge","1990","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","May","Swenson","Q1026443","May Swenson","37043756","n50011616","","","","",""
"Shelby Hearon","female","","winner","1990","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Shelby","Hearon","Q7493392","Shelby Hearon","117728818","n50025632","","","","",""
"Yannick Murphy","female","","winner","1990","Whiting Award","50,000","Whiting Foundation","career","no genre","Yannick","Murphy","Q8048886","Yannick Murphy","62369938","n85298773","","","","",""
"James Robison","male","Brown University","winner","1989","Rosenthal Family Foundation Award","10,000","American Academy of Arts and Letters","book","prose","James","Robison","Q6142315","James Robison","284594587","n84199490","Brown University","graduate","","","The Illustrator"
"John Casey","male","University of Iowa","winner","1989","National Book Award","10,000","National Book Foundation","book","prose","John","Casey","Q6225438","John Casey","32033282","n84161567","Harvard University","graduate","366","","Spartina"
"Benjamin Demott","male","","judge","1989","National Book Award","10,000","National Book Foundation","book","prose","Benjamin","Demott","Q817443","Benjamin DeMott","34977068","n88041876","Harvard University","graduate","","","Spartina"
"Thomas Flanagan","male","","judge","1989","National Book Award","10,000","National Book Foundation","book","prose","Thomas","Flanagan","Q2416071","Thomas Flanagan","79025241","n86115835","Columbia University","graduate","","","Spartina"
"Howard Norman","male","","judge","1989","National Book Award","10,000","National Book Foundation","book","prose","Howard","Norman","Q5920510","Howard Norman","118417991","n79012257","","graduate","","","Spartina"
"Robert Shaw","male","","judge","1989","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","Robert","Shaw","Q313727","Robert Shaw","112081464","n50022186","Yale University, Harvard University","graduate","","","Selected Poems, 1938-1988"
