"full_name","gender","mfa_degree","role","prize_year","prize_name","prize_amount","prize_institution","prize_type","prize_genre","given_name","last_name","author_wikidata","author_wikidata_label","author_viaf","author_lccn","elite_institution","graduate_degree","iowa_mfa_person_id","stegner","title_of_winning_book"
"Andrea Lawlor","nonbinary/they","University of Massachusetts, Amherst","winner","2020","Whiting Award","50,000","Whiting Foundation","career","no genre","Andrea","Lawlor","Q97930223","Andrea Lawlor","26865645","no2008023022","","graduate","","",""
"Raquelsalas Rivera","nonbinary/he","","judge","2020","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","Raquelsalas","Rivera","","","","","University of Pennsylvania","graduate","","","A Fortune For Your Disaster"
"Garth Greenwell","male","Washington University","judge","2020","Jean Stein Book Award","75,000","PEN America","book","no genre","Garth","Greenwell","Q5524350","Garth Greenwell","168706841","n2011011035","Harvard University","graduate","","","Where Reasons End"
"William T. Vollman","male","","judge","2020","Jean Stein Book Award","75,000","PEN America","book","no genre","William T.","Vollman","Q29344","William T. Vollmann","46804375","n85319852","Cornell University","","","","Where Reasons End"
"Michael Schaub","male","","judge","2020","Jean Stein Book Award","75,000","PEN America","book","no genre","Michael","Schaub","","","","","","","","","Where Reasons End"
"Jericho Brown","male","University of New Orleans","winner","2020","Pulitzer Prize","15,000","Columbia University","book","poetry","Jericho","Brown","Q15440076","Jericho Brown","317141438","no2009022322","","graduate","","","The Tradition"
"Patrick Phillips","male","University of Maryland","judge","2020","Pulitzer Prize","15,000","Columbia University","book","poetry","Patrick","Phillips","Q7147467","Patrick Phillips","75706006","n2004042666","","graduate","","","The Tradition"
"Adam Kirsch","male","","judge","2020","Pulitzer Prize","15,000","Columbia University","book","poetry","Adam","Kirsch","Q4679350","Adam Kirsch","119488947","n2002024448","Harvard University","graduate","","","The Tradition"
"Alexander Chee","male","University of Iowa","judge","2020","Drue Heinz Literature Prize","15,000","University of Pittsburg Press","book","prose","Alexander","Chee","Q4718581","Alexander Chee","162709698","n2001037216","","graduate","2149","","The Prince Of Mournful Thoughts And Other Stories"
"Eric Banks","male","","judge","2020","Pulitzer Prize","15,000","Columbia University","book","prose","Eric","Banks","","","","","","","","","The Nickel Boys"
"Colson Whitehead","male","","winner","2020","Pulitzer Prize","15,000","Columbia University","book","prose","Colson","Whitehead","Q509662","Colson Whitehead","69151887","n98027019","Harvard University","","","","The Nickel Boys"
"Oscar Villalon","male","","judge","2020","Pulitzer Prize","15,000","Columbia University","book","prose","Oscar","Villalon","","","","","","","","","The Nickel Boys"
"Daniel Menaker","male","Johns Hopkins University","judge","2020","Diamonstein-Spielvogel Award For The Art Of The Essay","15,000","PEN America","book","prose","Daniel","Menaker","Q16732469","Daniel Menaker","33451712","n85298839","","graduate","","","Resurrection Of The Wild: Meditations On Ohio's Natural Landscape"
"Jelani Cobb","male","","judge","2020","Diamonstein-Spielvogel Award for the Art of the Essay","15,000","PEN America","book","prose","Jelani","Cobb","Q8013536","Jelani Cobb","248579229","n2001040692","","graduate","","","Resurrection Of The Wild: Meditations On Ohio's Natural Landscape"
"De'Shawn Charles Winslow","male","University of Iowa","judge","2020","First Novel Prize","15,000","Center for Fiction","book","prose","De'Shawn Charles","Winslow","Q120505975","De'Shawn Charles Winslow","9223372036854775808","n2018051868","","graduate","missing","","Luster"
"Stefan Merrill Block","male","","judge","2020","First Novel Prize","15,000","Center for Fiction","book","prose","Stefan Merrill","Block","Q3972256","Stefan Merrill Block","79216826","n2007020242","","","","","Luster"
"Laird Hunt","male","Naropa University","judge","2020","National Book Award","10,000","National Book Foundation","book","prose","Laird","Hunt","Q16204397","Laird Hunt","14907223","no97000632","","graduate","","","Interior China Town"
"Keaton Patterson","male","","judge","2020","National Book Award","10,000","National Book Foundation","book","prose","Keaton","Patterson","","","","","","graduate","","","Interior China Town"
"Charles Yu","male","","winner","2020","National Book Award","10,000","National Book Foundation","book","prose","Charles","Yu","Q5083786","Charles Yu","76104238","no2007114091","","","","","Interior China Town"
"Timothy Donnelly","male","Columbia University","judge","2020","Kate Tufts Discovery Award","10,000","Claremont Graduate University","book","poetry","Timothy","Donnelly","Q7807159","Timothy Donnelly","6752424","n2002041614","Columbia University","graduate","","","I Can't Talk About The Trees Without The Blood"
"Luis Rodriguez","male","","judge","2020","Kate Tufts Discovery Award","10,000","Claremont Graduate University","book","poetry","Luis","Rodriguez","","","","","","","","","I Can't Talk About The Trees Without The Blood"
"John Hennesey","male","University of Arkansas","judge","2020","National Book Award","10,000","National Book Foundation","book","poetry","John","Hennesey","","","","","Princeton University","graduate","","","DMZ Colony"
"Rigoberto González","male","University of Arizona","judge","2020","National Book Award","10,000","National Book Foundation","book","poetry","Rigoberto","González","Q7333845","Rigoberto González","43620311","n98086894","","graduate","","","DMZ Colony"
"Timothy Donnelly","male","Columbia University","judge","2020","Kingsley Tufts Poetry Award","100,000","Claremont Graduate University","book","poetry","Timothy","Donnelly","Q7807159","Timothy Donnelly","6752424","n2002041614","Columbia University","graduate","","","A Sand Book"
"Luis Rodriguez","male","","judge","2020","Kingsley Tufts Poetry Award","100,000","Claremont Graduate University","book","poetry","Luis","Rodriguez","","","","","","","","","A Sand Book"
"Davidl Ulin","male","","judge","2020","Hemingway Award for Debut Novel","10,000","PEN America","book","prose","Davidl","Ulin","","","","","University of Pennsylvania","","","","A Prayer For Travelers"
"Tim Seibles","male","Vermont College of Fine Arts","judge","2020","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","Tim","Seibles","Q7804255","Tim Seibles","14616617","nr89012503","","graduate","","","A Fortune For Your Disaster"
"Hanif Abdurraqib","male","","winner","2020","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","Hanif","Abdurraqib","Q25936064","Hanif Abdurraqib","9223372036854775808","no2016118263","","","","","A Fortune For Your Disaster"
"Jeremy O. Harris","male","Yale University","winner","2020","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Jeremy O.","Harris","Q112042530","Jeremy O'Harris","","","","graduate","","",""
"John Guare","male","Yale University","judge","2020","Arthur Rense Prize","20,000","American Academy of Arts and Letters","career","poetry","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"John Guare","male","Yale University","judge","2020","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"John Guare","male","Yale University","judge","2020","Benjamin H. Danks Award","20,000","American Academy of Arts and Letters","career","no genre","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"John Guare","male","Yale University","judge","2020","Christopher Lightfoot Walker Award","100,000","American Academy of Arts and Letters","career","no genre","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"John Guare","male","Yale University","judge","2020","E. M. Forster Award","10,000","American Academy of Arts and Letters","career","no genre","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"John Guare","male","Yale University","judge","2020","Rosenthal Family Foundation Award","10,000","American Academy of Arts and Letters","career","prose","John","Guare","Q320556","John Guare","71506879","n80065728","","graduate","","",""
"Luther Hughes","male","Washington University","winner","2020","Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship","25,800","Poetry Foundation","career","poetry","Luther","Hughes","","","","","","graduate","","",""
"Terrance Hayes","male","University of Pittsburgh","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Terrance","Hayes","Q7703264","Terrance Hayes","19313000","no99042009","","graduate","","",""
"Terrance Hayes","male","University of Pittsburgh","winner","2020","Rebekah Johnson Bobbitt National Prize For Poetry","10,000","Library of Congress","career","poetry","Terrance","Hayes","Q7703264","Terrance Hayes","19313000","no99042009","","graduate","","",""
"Terrance Hayes","male","University of Pittsburgh","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","Terrance","Hayes","Q7703264","Terrance Hayes","19313000","no99042009","","graduate","","",""
"Jericho Brown","male","University of New Orleans","winner","2020","USA Fellowship","50,000","United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)","career","no genre","Jericho","Brown","Q15440076","Jericho Brown","317141438","no2009022322","","graduate","","",""
"Robert Wrigley","male","University of Montana","judge","2020","Jackson Poetry Prize","75,000","Poets & Writers","career","poetry","Robert","Wrigley","Q7351272","Robert Wrigley","52952040","n78090918","","graduate","","",""
"David St John","male","University of Iowa","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","David","St John","Q5240013","David St. John","11122111","n79058424","","graduate","3483","",""
"David St John","male","University of Iowa","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","David","St John","Q5240013","David St. John","11122111","n79058424","","graduate","3483","",""
"Alberto Rios","male","University of Arizona","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Alberto","Rios","Q4712189","Alberto Ríos","32048676","n82048408","","graduate","","",""
"Alberto Rios","male","University of Arizona","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","Alberto","Rios","Q4712189","Alberto Ríos","32048676","n82048408","","graduate","","",""
"Rigoberto González","male","University of Arizona","winner","2020","Lannan Fellowship","50,000","Lannan Foundation","career","poetry","Rigoberto","González","Q7333845","Rigoberto González","43620311","n98086894","","graduate","","",""
"Garrett Hongo","male","Univeristy of California, Irvine","judge","2020","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","career","poetry","Garrett","Hongo","Q5523900","Garrett Hongo","59947817","n79036313","","graduate","","",""
"Adrian Matejka","male","Southern Illinois State University","judge","2020","Rebekah Johnson Bobbitt National Prize For Poetry","10,000","Library of Congress","career","poetry","Adrian","Matejka","Q4685208","Adrian Matejka","14142797","n2003040844","","graduate","","",""
"Will Arbery","male","Northwestern University","winner","2020","Whiting Award","50,000","Whiting Foundation","career","no genre","Will","Arbery","Q114739852","Will Arbery","9223372036854775808","no2016068942","","graduate","","",""
"Darius Simpson","male","Mills College","winner","2020","Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship","25,800","Poetry Foundation","career","poetry","Darius","Simpson","","","","","","graduate","","",""
"Jake Skeets","male","Institute of American Indian Arts","winner","2020","Whiting Award","50,000","Whiting Foundation","career","no genre","Jake","Skeets","","","","","","graduate","","",""
"Khaled Mattawa","male","Indiana University","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Khaled","Mattawa","Q15453138","Khaled Mattawa","14023382","n95094382","","graduate","","",""
"Khaled Mattawa","male","Indiana University","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","Khaled","Mattawa","Q15453138","Khaled Mattawa","14023382","n95094382","","graduate","","",""
"Cyree Jarelle Johnson","male","Columbia University","winner","2020","Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship","25,800","Poetry Foundation","career","poetry","Cyree Jarelle","Johnson","Q99772980","Cyrée Jarelle Johnson","","","Columbia University","graduate","","",""
"Wayne Koestenbaum","male","","winner","2020","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Wayne","Koestenbaum","Q2553088","Wayne Koestenbaum","47454082","nr88004645","Harvard University, Princeton University","graduate","","",""
"Daniel Mason","male","","winner","2020","Joyce Carol Oates Literary Prize/Simpson Family","50,000","New Literary Project (University of California, Berkeley and Lafayette Library)","career","prose","Daniel","Mason","Q2111663","Daniel Mason","79214421","n2002027046","Harvard University","graduate","","",""
"Fred Moten","male","","winner","2020","MacArthur Fellowship","625,000","MacArthur Foundation","career","no genre","Fred","Moten","Q47493070","Fred Moten","70929701","no00019794","Harvard University","graduate","","",""
"Forrest Gander","male","","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Forrest","Gander","Q5470470","Forrest Gander","17296979","n87931071","","graduate","","",""
"Forrest Gander","male","","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","Forrest","Gander","Q5470470","Forrest Gander","17296979","n87931071","","graduate","","",""
"Joel Harrington","male","","winner","2020","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Joel","Harrington","Q83389832","Joel F. Harrington","92161274","n94024942","","graduate","","",""
"Jonah Mixon-Webster","male","","winner","2020","Windham Campbell Prize","165,000","Yale University","career","poetry","Jonah","Mixon-Webster","","","","","","graduate","","",""
"Kwame Dawes","male","","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Kwame","Dawes","Q6450075","Kwame Dawes","65093267","no95021730","","graduate","","",""
"Kwame Dawes","male","","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","Kwame","Dawes","Q6450075","Kwame Dawes","65093267","no95021730","","graduate","","",""
"Stephen Sexton","male","","winner","2020","E. M. Forster Award","10,000","American Academy of Arts and Letters","career","no genre","Stephen","Sexton","Q118423766","Stephen Sexton","","","","graduate","","",""
"Viet Thanh Nguyen","male","","winner","2020","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Viet Thanh","Nguyen","Q23887092","Viet Thanh Nguyen","56828605","n2001046514","","graduate","","",""
"Alex Kotlowitz","male","","winner","2020","Harold D. Vursell Memorial Award","20,000","American Academy of Arts and Letters","career","prose","Alex","Kotlowitz","Q4717316","Alex Kotlowitz","79363511","n88156865","","","","",""
"Ed Roberson","male","","winner","2020","Jackson Poetry Prize","75,000","Poets & Writers","career","poetry","Ed","Roberson","Q5335329","Ed Roberson","76415599","nr94024991","","","","",""
"Hanif Abdurraqib","male","","winner","2020","Lannan Fellowship","50,000","Lannan Foundation","career","poetry","Hanif","Abdurraqib","Q25936064","Hanif Abdurraqib","9223372036854775808","no2016118263","","","","",""
"Hanif Abdurraqib","male","","winner","2020","USA Fellowship","50,000","United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)","career","no genre","Hanif","Abdurraqib","Q25936064","Hanif Abdurraqib","9223372036854775808","no2016118263","","","","",""
"Marilyn Chin","female","University of Iowa","judge","2020","Jean Stein Book Award","75,000","PEN America","book","no genre","Marilyn","Chin","Q6763512","Marilyn Chin","47840838","n88045226","Stanford University","graduate","1276","Stegner","Where Reasons End"
"Yiyun Li","female","University of Iowa","winner","2020","Jean Stein Book Award","75,000","PEN America","book","no genre","Yiyun","Li","Q460088","Yiyun Li","66761360","n2004151571","","graduate","4032","","Where Reasons End"
"Rebecca Makkai","female","","judge","2020","Jean Stein Book Award","75,000","PEN America","book","no genre","Rebecca","Makkai","Q16204629","Rebecca Makkai","160742544","n2010081942","","graduate","","","Where Reasons End"
"Marilyn Chin","female","University of Iowa","judge","2020","Pulitzer Prize","15,000","Columbia University","book","poetry","Marilyn","Chin","Q6763512","Marilyn Chin","47840838","n88045226","Stanford University","graduate","1276","Stegner","The Tradition"
"Caroline Kim","female","University of Michigan","winner","2020","Drue Heinz Literature Prize","15,000","University of Pittsburg Press","book","prose","Caroline","Kim","","","9223372036854775808","no2021083253","","graduate","","","The Prince Of Mournful Thoughts And Other Stories"
"Min Jin Lee","female","Georgetown University","judge","2020","Pulitzer Prize","15,000","Columbia University","book","prose","Min Jin","Lee","Q13563026","Min Jin Lee","1903619","n2006086697","Yale University","graduate","","","The Nickel Boys"
"Marie Arana","female","","judge","2020","Pulitzer Prize","15,000","Columbia University","book","prose","Marie","Arana","Q12052943","Marie Arana","12545530","n00027341","","graduate","","","The Nickel Boys"
"Porochista Khakpour","female","Johns Hopkins University","judge","2020","Faulkner Award for Fiction","15,000","PEN America","book","prose","Porochista","Khakpour","Q7230249","Porochista Khakpour","80731850","no2007101920","","graduate","","","Sea Monsters"
"Patricia Engel","female","Florida International University","judge","2020","Faulkner Award for Fiction","15,000","PEN America","book","prose","Patricia","Engel","Q107456779","Patricia Engel","232184275","n2014073980","","graduate","","","Sea Monsters"
"Chloe Aridjis","female","","winner","2020","Faulkner Award for Fiction","15,000","PEN America","book","prose","Chloe","Aridjis","Q5102851","Chloe Aridjis","7328393","nr2002034887","Harvard University","graduate","","","Sea Monsters"
"Ru Freeman","female","","judge","2020","Faulkner Award for Fiction","15,000","PEN America","book","prose","Ru","Freeman","Q16934992","Ru Freeman","86240669","n2009021096","","","","","Sea Monsters"
"Deborah Fleming","female","","winner","2020","Diamonstein-Spielvogel Award for the Art of the Essay","15,000","PEN America","book","prose","Deborah","Fleming","","","","","","graduate","","","Resurrection Of The Wild: Meditations On Ohio's Natural Landscape"
"Judith Thurman","female","","judge","2020","Diamonstein-Spielvogel Award For The Art Of The Essay","15,000","PEN America","book","prose","Judith","Thurman","Q12320398","Judith Thurman","116257724","n50011900","","","","","Resurrection Of The Wild: Meditations On Ohio's Natural Landscape"
"Raven Leilani","female","New York University","winner","2020","First Novel Prize","15,000","Center for Fiction","book","prose","Raven","Leilani","Q98114121","Raven Leilani","7158427928306061312","no2020035531","","graduate","","","Luster"
"Raven Leilani","female","New York University","winner","2020","Kirkus Prize","50,000","Kirkus Review","book","prose","Raven","Leilani","Q98114121","Raven Leilani","7158427928306061312","no2020035531","","graduate","","","Luster"
"Amy Reiter","female","Columbia University","judge","2020","Kirkus Prize","50,000","Kirkus Review","book","prose","Amy","Reiter","","","","","Columbia University","graduate","","","Luster"
"Jenny Offill","female","","judge","2020","First Novel Prize","15,000","Center for Fiction","book","prose","Jenny","Offill","Q15522372","Jenny Offill","79457224","n99002654","Stanford University","graduate","","Stegner","Luster"
"Veronica Santiago Liu","female","","judge","2020","Kirkus Prize","50,000","Kirkus Review","book","prose","Veronica Santiago","Liu","","","","","Barnard College","","","","Luster"
"Halle Butler","female","","judge","2020","First Novel Prize","15,000","Center for Fiction","book","prose","Halle","Butler","Q53582387","Halle Butler","314902001","no2015018191","","","","","Luster"
"Valeria Luiselli","female","","winner","2020","Rosenthal Family Foundation Award","10,000","American Academy of Arts and Letters","book","prose","Valeria","Luiselli","Q15449810","Valeria Luiselli","160575889","no2011082216","Columbia University","graduate","","","Lost Children Archive"
"Terry Tempest Williams","female","","judge","2020","Rosenthal Family Foundation Award","10,000","American Academy of Arts and Letters","book","prose","Terry Tempest","Williams","Q7705078","Terry Tempest Williams","53070524","n83190591","","graduate","","","Lost Children Archive"
"Amy Hempel","female","","judge","2020","Rosenthal Family Foundation Award","10,000","American Academy of Arts and Letters","book","prose","Amy","Hempel","Q481871","Amy Hempel","79156172","n84183486","","","","","Lost Children Archive"
"Louise Gluck","female","","judge","2020","Rosenthal Family Foundation Award","10,000","American Academy of Arts and Letters","book","prose","Louise","Gluck","Q2344210","Louise Glück","84538845","n80005703","","","","","Lost Children Archive"
"Mimi Lok","female","San Francisco State University","winner","2020","Robert W. Bingham Prize for Debut Short Story Collection","10,000","PEN America","book","prose","Mimi","Lok","Q94839375","Mimi Lok","9223372036854775808","no2019179301","","graduate","","","Last Of Her Name"
"Cristina Henríquez","female","University of Iowa","judge","2020","National Book Award","10,000","National Book Foundation","book","prose","Cristina","Henríquez","Q18719470","Cristina Henríquez","166101706","n2005057786","","graduate","missing","","Interior China Town"
"Rebecca Makkai","female","","judge","2020","National Book Award","10,000","National Book Foundation","book","prose","Rebecca","Makkai","Q16204629","Rebecca Makkai","160742544","n2010081942","","graduate","","","Interior China Town"
"Roxane Gay","female","","judge","2020","National Book Award","10,000","National Book Foundation","book","prose","Roxane","Gay","Q16202911","Roxane Gay","308698170","no2014051741","","graduate","","","Interior China Town"
"Meghan O'Rourke","female","Warren Wilson College","judge","2020","Kate Tufts Discovery Award","10,000","Claremont Graduate University","book","poetry","Meghan","O'Rourke","Q1175457","Meghan O'Rourke","73188946","n99055666","Yale University","graduate","","","I Can't Talk About The Trees Without The Blood"
"Sandy Solomon","female","Warren Wilson College","judge","2020","Kate Tufts Discovery Award","10,000","Claremont Graduate University","book","poetry","Sandy","Solomon","Q15441970","Sandy Solomon","53416557","n96054482","University of Chicago","graduate","","","I Can't Talk About The Trees Without The Blood"
"Tiana Clarke","female","Vanderbilt University","winner","2020","Kate Tufts Discovery Award","10,000","Claremont Graduate University","book","poetry","Tiana","Clarke","","","","","","graduate","","","I Can't Talk About The Trees Without The Blood"
"Khadija Queen","female","","judge","2020","Kate Tufts Discovery Award","10,000","Claremont Graduate University","book","poetry","Khadija","Queen","","","","","","graduate","","","I Can't Talk About The Trees Without The Blood"
"Diana Khoi Nguyen","female","Columbia University","judge","2020","National Book Award","10,000","National Book Foundation","book","poetry","Diana Khoi","Nguyen","Q63692475","Diana Khoi Nguyen","","","Columbia University","graduate","","","DMZ Colony"
"Layli Long Soldier","female","Bard College","judge","2020","National Book Award","10,000","National Book Foundation","book","poetry","Layli","Long Soldier","Q27979062","Layli Long Soldier","103053566","no2009185035","","graduate","","","DMZ Colony"
"Don Mee Choi","female","","winner","2020","National Book Award","10,000","National Book Foundation","book","poetry","Don Mee","Choi","Q20880969","Don Mee Choi","9223372036854775808","no2006053846","","graduate","","","DMZ Colony"
"Elizabeth Willis","female","","judge","2020","National Book Award","10,000","National Book Foundation","book","poetry","Elizabeth","Willis","Q5363731","Elizabeth Willis","33665446","n93018898","","graduate","","","DMZ Colony"
"Meghan O'Rourke","female","Warren Wilson College","judge","2020","Kingsley Tufts Poetry Award","100,000","Claremont Graduate University","book","poetry","Meghan","O'Rourke","Q1175457","Meghan O'Rourke","73188946","n99055666","Yale University","graduate","","","A Sand Book"
"Sandy Solomon","female","Warren Wilson College","judge","2020","Kingsley Tufts Poetry Award","100,000","Claremont Graduate University","book","poetry","Sandy","Solomon","Q15441970","Sandy Solomon","53416557","n96054482","University of Chicago","graduate","","","A Sand Book"
"Ariana Reines","female","","winner","2020","Kingsley Tufts Poetry Award","100,000","Claremont Graduate University","book","prose","Ariana","Reines","Q17516991","Ariana Reines","9223372036854775808","no2007027773","Barnard College, Columbia University","graduate","","","A Sand Book"
"Khadija Queen","female","","judge","2020","Kingsley Tufts Poetry Award","100,000","Claremont Graduate University","book","poetry","Khadija","Queen","","","","","","graduate","","","A Sand Book"
"Terese Marie Mailhot","female","Institute of American Indian Arts","judge","2020","Hemingway Award for Debut Novel","10,000","PEN America","book","prose","Terese Marie","Mailhot","Q50379458","Terese Marie Mailhot","7150999546329870336","n2017066267","","graduate","","","A Prayer For Travelers"
"Ruchika Tomar","female","Columbia University","winner","2020","Hemingway Award for Debut Novel","10,000","PEN America","book","prose","Ruchika","Tomar","Q98510714","Ruchika Tomar","1154135795715082752","n2018062037","Columbia University","graduate","","","A Prayer For Travelers"
"Ro Kwon","female","Brooklyn College","judge","2020","Hemingway Award for Debut Novel","10,000","PEN America","book","prose","Ro","Kwon","Q56641357","R. O. Kwon","5153361344737391616","no2018100529","Yale University","graduate","","","A Prayer For Travelers"
"Achy Obejas","female","Warren Wilson College","judge","2020","USA Fellowship","50,000","United States Artists (Ford, Rockefeller, Rasmuson, and Prudential)","career","no genre","Achy","Obejas","Q4673957","Achy Obejas","90783147","n94043851","","graduate","","",""
"Jaquira Diaz","female","University of San Francisco","winner","2020","Whiting Award","50,000","Whiting Foundation","career","no genre","Jaquira","Diaz","Q47461968","Jaquira Díaz","9223372036854775808","no2016072813","","graduate","","",""
"Khaty Xiong","female","University of Montana","winner","2020","Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship","25,800","Poetry Foundation","career","poetry","Khaty","Xiong","Q113717227","Khaty Xiong","","","","graduate","","",""
"Jia Tolentino","female","University of Michigan","winner","2020","Whiting Award","50,000","Whiting Foundation","career","no genre","Jia","Tolentino","Q25340107","Jia Tolentino","9223372036854775808","n2019008472","","graduate","","",""
"Natasha Trethewey","female","University of Massachusetts, Amherst","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Natasha","Trethewey","Q6968508","Natasha Trethewey","120068914","no00088459","","graduate","","",""
"Natasha Trethewey","female","University of Massachusetts, Amherst","winner","2020","Rebekah Johnson Bobbitt National Prize For Poetry","10,000","Library of Congress","career","poetry","Natasha","Trethewey","Q6968508","Natasha Trethewey","120068914","no00088459","","graduate","","",""
"Natasha Trethewey","female","University of Massachusetts, Amherst","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","Natasha","Trethewey","Q6968508","Natasha Trethewey","120068914","no00088459","","graduate","","",""
"Linda Gregerson","female","University of Iowa","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Linda","Gregerson","Q6551613","Linda Gregerson","29682677","n83187938","Stanford University","graduate","1007","",""
"Linda Gregerson","female","University of Iowa","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","Linda","Gregerson","Q6551613","Linda Gregerson","29682677","n83187938","Stanford University","graduate","1007","",""
"Marilyn Chin","female","University of Iowa","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Marilyn","Chin","Q6763512","Marilyn Chin","47840838","n88045226","Stanford University","graduate","1276","Stegner",""
"Marilyn Chin","female","University of Iowa","winner","2020","Ruth Lilly Poetry Prize","100,000","Poetry Foundation","career","poetry","Marilyn","Chin","Q6763512","Marilyn Chin","47840838","n88045226","Stanford University","graduate","1276","Stegner",""
"Marilyn Chin","female","University of Iowa","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","Marilyn","Chin","Q6763512","Marilyn Chin","47840838","n88045226","Stanford University","graduate","1276","Stegner",""
"Sandra Lim","female","University of Iowa","winner","2020","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Sandra","Lim","Q16910132","Sandra Lim","","","Stanford University","graduate","2635","",""
"Brenda Hillman","female","University of Iowa","judge","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Brenda","Hillman","Q4960695","Brenda Hillman","93929850","n84045053","","graduate","934","",""
"Brenda Hillman","female","University of Iowa","winner","2020","Morton Dauwen Zabel Award","10,000","American Academy of Arts and Letters","career","poetry","Brenda","Hillman","Q4960695","Brenda Hillman","93929850","n84045053","","graduate","934","",""
"Brenda Hillman","female","University of Iowa","judge","2020","Wallace Stevens Award","100,000","Academy of American Poets","career","poetry","Brenda","Hillman","Q4960695","Brenda Hillman","93929850","n84045053","","graduate","934","",""
"Carmen Giménez-Smith","female","University of Iowa","winner","2020","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","Carmen","Giménez-Smith","","","","","","graduate","3905","",""
"Danielle Trussoni","female","University of Iowa","judge","2020","Pulitzer Prize","15,000","Columbia University","book","prose","Danielle","Trussoni","Q457177","Danielle Trussoni","33871350","n2005076267","","graduate","2587","",""
"Jayne Anne Phillips","female","University of Iowa","judge","2020","Arthur Rense Prize","20,000","American Academy of Arts and Letters","career","poetry","Jayne Anne","Phillips","Q4353602","Jayne Anne Phillips","44274409","n79033346","","graduate","1109","",""
"Jayne Anne Phillips","female","University of Iowa","judge","2020","Arts and Letters Awards","10,000","American Academy of Arts and Letters","career","no genre","Jayne Anne","Phillips","Q4353602","Jayne Anne Phillips","44274409","n79033346","","graduate","1109","",""
"Jayne Anne Phillips","female","University of Iowa","judge","2020","Benjamin H. Danks Award","20,000","American Academy of Arts and Letters","career","no genre","Jayne Anne","Phillips","Q4353602","Jayne Anne Phillips","44274409","n79033346","","graduate","1109","",""
"Jayne Anne Phillips","female","University of Iowa","judge","2020","Christopher Lightfoot Walker Award","100,000","American Academy of Arts and Letters","career","no genre","Jayne Anne","Phillips","Q4353602","Jayne Anne Phillips","44274409","n79033346","","graduate","1109","",""
"Jayne Anne Phillips","female","University of Iowa","judge","2020","E. M. Forster Award","10,000","American Academy of Arts and Letters","career","no genre","Jayne Anne","Phillips","Q4353602","Jayne Anne Phillips","44274409","n79033346","","graduate","1109","",""
"Jayne Anne Phillips","female","University of Iowa","judge","2020","Rosenthal Family Foundation Award","10,000","American Academy of Arts and Letters","career","prose","Jayne Anne","Phillips","Q4353602","Jayne Anne Phillips","44274409","n79033346","","graduate","1109","",""
