"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C9G9RFGW","book","1965","Maeght, Adrien; Lavater, Warja; Maeght, Adrien","Imageries","","978-2-86941-114-2","","","","Boxed set of conceptual artist's books by Swiss graphic designer and illustrator Warja Lavater collecting her wordless lithographic adaptations of six of Charles Perrault's classic fairy tales, each reimagined visually using ideogramatic color shapes and symbols in place of written language and figural representation.","1965","2024-10-15 14:15:17","2024-10-15 14:18:13","","","","","","","","","","","","","Adrien Maeght Editeur","Paris","fre;eng;ger","","","","Artist's Books","onesearch.wesleyan.edu","L387 I434 1965","","<div data-schema-version=""8""><p>Format</p> <p> 6 volumes : chiefly color illustrations ; 16 cm</p> <p>Description</p> <p>Boxed set of conceptual artist's books by Swiss graphic designer and illustrator Warja Lavater collecting her wordless lithographic adaptations of six of Charles Perrault's classic fairy tales, each reimagined visually using ideogramatic color shapes and symbols in place of written language and figural representation.</p> <p>Table of Contents</p> <p>• [v. 1]. Le Petit Poucet = Tom Thumb = Däumling (©1979) <br>• [v. 2]. Blanche Neige = Snow White = Schneewittchen (©1974) <br>• [v. 3]. Le Petit Chaperon Rouge = Little Red Riding Hood = Rotkäppchen (©1965) <br>• [v. 4]. La fable du Hasard = The fable of Hazard = Die Fabel vom Zufall (©1968) <br>• [v. 5]. La Belle au Bois dormant = Sleeping Beauty = Dornröschen (©1982) <br>• [v. 6]. Cendrillon = Cinderella = Aschenputtel (©1976).</p> <p>Notes</p> <p>Title, authorship statement, imprint, and dates of publication from publisher's slipcase.</p> <p>"" ... une imagerie d'apres le conte de Charles Perrault.""--Colophon (volumes 1-2, 6)</p> <p>Each volume made of accordion-folded sheets (approximately 40 pages) printed one side only and attached continuously with boards at each end; volumes 1-3, 5-6 have cloth-covered boards with title printed on paper label mounted on front cover; volume 4 has paper-covered boards lithographed with handwritten title on front cover and colophon on back cover; volumes housed individually in clear plastic slipcases within publisher's larger color illustrated slipcase.</p> <p>""Les lithographies [sur papier Velin] ... ont été tirées sur les presses des Ateliers Arte, Paris."" See special title pages and colophon for volume 4.</p> <p>Key to ideogramatic illustrations in French, English, and German in all volumes except volume 4 (French text only); volume 3 also has key in Japanese.</p> <p>Wesleyan Special Collections copy: Unnumbered copy of the complete set. Housed individually in clear plastic slipcases within publisher's larger color illustrated slipcase.</p> </div>","","","","1900-1999; 20th century; Accordion fold format (Binding); Adaptations; Artists' books; Conceptual; Conceptual art; Contes des fées (Perrault, Charles); Fairy tales; Fairy tales in art; foldouts; illustrated books; Illustrated works; Illustrations; Lithographies; lithographs; Lithographs; Lithography; Ouvrages illustrés; Perrault, Charles, 1628-1703 Contes des fées; Picture-writing; Plexiglas (TM); slipcases; Specimens","","","","Maeght, Adrien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KYDNXBNP","book","2013","Lorenz, Angela","Balzaculator: La comédie humaine as a binary system for Balzacolytes","","","","","","""This is an analog, proto-computer to determine which characters created by Honoré de Balzac (1799-1850) appear in which stories or novels of The Human Comedy. In 1833, after Balzac had already started writing this collection of 90+ novels and stories, he realized the potential of weaving repeating characters throughout the works ... Of the thousands of characters, all appearing four or more times are here. The loom apparatus pays homage to French weaver and merchant Jacquard ... The viewer may place the punched card in front of any of the 179 repeating characters in the Balzaculator and colored dots will show the novels or stories in which a character appears. The Balzaculator Color Code on the reverse is a key to enrich each character by citing professions, status, and personal qualities""--Colophon.","2013","2024-10-15 14:15:35","2024-10-15 14:18:08","","","","","","","","Balzaculator","","","","","Angela Lorenz","Bologna, Italy","eng","","","","Artist's Books","onesearch.wesleyan.edu","Gs L674 B35 2013","","<div data-schema-version=""8""><p>Format</p> <p> 1 case (91 unnumbered cards) : color illustrations ; 17 x 26 cm</p> <p>Description</p> <p>""This is an analog, proto-computer to determine which characters created by Honoré de Balzac (1799-1850) appear in which stories or novels of The Human Comedy. In 1833, after Balzac had already started writing this collection of 90+ novels and stories, he realized the potential of weaving repeating characters throughout the works ... Of the thousands of characters, all appearing four or more times are here. The loom apparatus pays homage to French weaver and merchant Jacquard ... The viewer may place the punched card in front of any of the 179 repeating characters in the Balzaculator and colored dots will show the novels or stories in which a character appears. The Balzaculator Color Code on the reverse is a key to enrich each character by citing professions, status, and personal qualities""--Colophon.</p> <p>Notes</p> <p>Wesleyan copy: Number 6 of the limited, signed edition. In acrylic display case, as issued.</p> <p>The title is printed in English words and as ones and zeros.</p> <p>91 cards are arranged in a canvas-covered portfolio, that opens to a 45 degree angle. Issued in an acrylic case.</p> <p>""The eight linen bookbinding threads allowing the cover to open and close echo the eight-character bit strings of binary code used to write the title on the cover, and the eight sections of La Comédie Humaine. The faux terracotta antique Roman loom weights dangling from the threads, together with the canvas cover printed in gold, summon up Balzac, the fervid collector of art and antiquities, writing through the night in his white cashmere monk's robe tied with a gold Venetian belt""--Colophon.</p> <p>An edition of 33.</p> </div>","","","","2013; Art and computers; Artists' books; Artists' books (books); Balzac, Honoré de, 1799-1850; Balzac, Honoré de, 1799-1850 Comédie humaine; Bologna; Characters; Characters and characteristics; Characters and characteristics in literature; Comédie humaine (Balzac, Honoré de); Italy; Pictorial works; Punched card systems; Specimens; Technology in art; Weaving in art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQR2MKPB","book","2023","Bervin, Jen; Granary Books","Concordance omission","","","","","","A concordance of the word ""no"" in the poems of Emily Dickinson.","2023","2024-10-15 14:16:03","2024-10-15 14:18:01","","","","","","","","","","","","","Granary Books","New York, N.Y","eng","","","","Artist's Books","onesearch.wesleyan.edu","B478 C663 2023","","<div data-schema-version=""8""><p>2 volumes (8 unnumbered leaves, 3 unnumbered pages): illustrations (some color) ; in box 45 x 29 x 4 cm</p> <p>Description</p> <p>A concordance of the word ""no"" in the poems of Emily Dickinson.</p> <p>Notes</p> <p>Title from laid in colophon slip (9 x 19 cm).</p> <p>Edition of 50 copies.</p> <p>Accordion-bound folio together with a large folded sheet (four-page) essay folio and colophon slip. In phase box with a stamped spine, magnetic closure, and interior label with edition number.</p> <p>""In this artist book, I respond to the omission of the word 'no' in The Concordance to the Poems of Emily Dickinson, edited by S.P. Rosenbaum (Cornell University, 1964). Dickinson used the 'nonsignificant' word 'no' 395 times. 'Yes' which was included? Four. What is significant to a poet writing to further 'no?'""-- Artist's essay.</p> <p>A ""spine poem for cataloguers"" consisting of Library of Congress call numbers is printed along the spine of the phase box.</p> <p>Includes bibliographical references.</p> <p>Wesleyan Special Collections copy: number 37 of the limited edition. in custom phase box, as issued.</p> </div>","","","","Accordion fold format; Artists' books; artists' books (books); concordances; Concordances; Criticism and interpretation; Dickinson, Emily, 1830-1886; Livres d'artistes; No (The English word); Poems; Poetry; Punched card systems; Rosenbaum, S. P (Stanford Patrick), 1929-2012 Concordance to the poems of Emily Dickinson; Words in art","","","","Granary Books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMJ2QB2J","book","2006","Larned, Emily K.; Red Charming","Search results.","","","","","","","2006","2024-10-15 14:16:22","2024-10-15 14:18:06","","","","","","","","","","","","","Red Charming","Bridgeport, Conn","eng","","","","Artist's Books","onesearch.wesleyan.edu","R445 S43 2006","","<div data-schema-version=""8""><p>Format</p> <p> 31 unnumbered pages ; 22 cm</p> <p>Notes</p> <p>Artist's book by Emily K. Larned.</p> <p>""The silkscreened text is excerpted from Isaac Asimov's 'How did we find out about computers?', published by Walker in 1984. The letterpress printed text is the result of searches-by-title conducted by the artist using LEO, the New York Public Library's online catalog. The paper is Fabriano Ingres and the covers are Corx. Conceived, designed, typeset, printed, and bound by Emily K. Larned. Begun in 2005 in Brooklyn and completed in Connecticut in 2006""--Colophon.</p> <p>""In an edition of 50 copies""--Colophon.</p> <p>Book covers from corrugated plastic. Title is created by printing on exposed edges of pages at the spine.</p> <p>Wesleyan copy: Number 5 of the limited, signed edition.</p> <p>Language</p> <p>English</p> </div>","","","","2006; Artists' books; Bridgeport; Connecticut; Database searching","","","","Red Charming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VI3B6VQE","book","2023","Lorenz, Angela","VeneTron","","","","","","""VeneTron is a low-tech art-finding device that reveals locations of work by seven important Venetian artists. It addresses the complicated and confusing geography and history of Venice, Italy and is named for the Tron family, which rose to power in the 15th century.""","2023","2024-10-15 14:16:38","2024-10-15 14:18:10","","","","","","","","","","","","","Angela Lorenz","Bologna, Italy","eng","","","","Artist's Books","onesearch.wesleyan.edu","L674 V4642 2023","","<div data-schema-version=""8""><p>Format</p> <p> 1 volume (unpaged) : illustrations ; 32 x 49 cm</p> <p>Description</p> <p>""VeneTron is a low-tech art-finding device that reveals locations of work by seven important Venetian artists. It addresses the complicated and confusing geography and history of Venice, Italy and is named for the Tron family, which rose to power in the 15th century.""</p> <p>Table of Contents</p> <p>• Giovanni Bellini <br>• Vittore Carpaccio <br>• Rosalba Carriera <br>• Giulia Lama <br>• Jacopo Tintoretto <br>• Tiziano Vecellio <br>• Paolo Veronese.</p> <p>Notes</p> <p>1 plastic envelope with zip closure holding 2 sheets of paper and 7 plastic sheets (each 28 x 44 cm.) that include a map of Venice and index to locations of works of art ; plastic stencil sheets have names of artists and pricked points for overlaying on map to discern locations of works.</p> <p>Includes index.</p> <p>Wesleyan Special Collections copy: 1 plastic portfolio (2 sheets, 7 stencils, map), as issued.</p> </div>","","","","Artists' books; artists' books (books); Bellini, Giovanni, 1426?-1516; Buildings; Buildings, structures, etc; Carpaccio, Vittore, 1455?-1525?; Carriera, Rosalba, 1675-1757; Italy; Lama, Giulia, 1681-1747; Livres d'artistes; Maps in art; Painting, Italian; Tintoretto, 1518-1594; Venice; Venice (Italy); Veronese, 1528-1588","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PB7FCVRJ","book","2015","Bryant, Sarah; Allen, David; Big Jump Press","Figure study.","","","","","","""This book enables a quick and compelling comparison of population data for every region on earth. Using estimates prepared by the US Census Bureau ... we created population pyramids for every region and paired them up to create abstracted human forms ... All 114 of these figures have been printed from linoleum onto drafting film and are housed together alongside a grid. The figures are each numbered and can be interpreted using a booklet containing an alphabetical and numerical index, as well as a short essay by David Allen about our process and the source of the data. The design of the enclosure encourages the viewer to layer the forms to create different combinations of shape and color. This process and the resulting imagery is initially reminiscent of elaborate dresses, paper dolls, and dissection plates, but the source of the data gives a different picture, laying bare the vast and critical differences between the basic equations of life in different parts of the world. Although we carefully graphed all of the available information, it was initially collected using a variety of different methods. The data is a combination of accurate reporting, biased self-description, out of date or incomplete reports, and best guess projections by Census Bureau demographers""--Artist's statement, Vamp & Tramp Booksellers' website, December 14, 2017. http://www.vampandtramp.com/finepress/b/big-jump-press.html","2015","2024-10-15 14:17:03","2024-10-15 14:18:03","","","","","","","","","","","","","Big Jump Press","Brighton, UK","eng","","","","Artist's Books","onesearch.wesleyan.edu","B532 F54 2015","","<div data-schema-version=""8""><p>Format</p> <p> 20 unnumbered pages : color illustrations, charts ; 28 cm, in portfolio (28 x 18 x 4 cm) + 114 sheets (27 x 17 cm)</p> <p>Description</p> <p>""This book enables a quick and compelling comparison of population data for every region on earth. Using estimates prepared by the US Census Bureau ... we created population pyramids for every region and paired them up to create abstracted human forms ... All 114 of these figures have been printed from linoleum onto drafting film and are housed together alongside a grid. The figures are each numbered and can be interpreted using a booklet containing an alphabetical and numerical index, as well as a short essay by David Allen about our process and the source of the data. The design of the enclosure encourages the viewer to layer the forms to create different combinations of shape and color. This process and the resulting imagery is initially reminiscent of elaborate dresses, paper dolls, and dissection plates, but the source of the data gives a different picture, laying bare the vast and critical differences between the basic equations of life in different parts of the world. Although we carefully graphed all of the available information, it was initially collected using a variety of different methods. The data is a combination of accurate reporting, biased self-description, out of date or incomplete reports, and best guess projections by Census Bureau demographers""--Artist's statement, Vamp &amp; Tramp Booksellers' website, December 14, 2017. http://www.vampandtramp.com/finepress/b/big-jump-press.html</p> <p>Notes</p> <p>Wesleyan copy: Number 29 of the limited, signed edition.</p> <p>Limited edition of 35 copies, signed and numbered by the artists.</p> <p>""Figure Study is a collaboration between Sarah Bryant of Big Jump Press and David Allen, Visiting Assistant Professor in the Biology Department at Middlebury College. This book was designed, letterpress-printed, and bound by hand over two years ending in 2015. The text was set in Adobe Garamond Pro and printed from polymer plates onto Arches Velin and Zerkall paper. The enclosure was designed and bound by Sarah Bryant in Ginga book cloth""--Colophon.</p> <p>A volume consisting of two sewn signatures in cloth-covered boards with a letterpress printed chart in two colors inset on the front cover, along with 114 loose sheets of drafting film, are laid into a matching cloth-covered-board, three-flap, wrap-around case. The center panel of the case has a letterpress printed chart attached and framed wooden corners to hold the volume in place and to hold each translucent film sheet so that the shapes can be interpreted by the age range and percentages on the chart. The left flap has a three-sided white paper over boards tray which holds the sheets of drafting film. A cloth-covered boards lid with ribbon pull fits over the tray to secure the sheets. The right flap folds over the left flap and has magnetic closure.</p> <p>Includes bibliographical references and index.</p> <p>MCBA Prize Finalist, 2015</p> </div>","","","","2015; Adobe Garamond Pro; Age distribution (Demography); Allen; Artists' books; artists' books (books); Authors' autographs (Provenance); Brighton; Bryant; Bryant, Sarah (Sarah Herrick), 1979-; Charts, diagrams, etc; Charts, diagrams, etc., in art; Demographic surveys; England; Letterpress printing; Limited editions; Specimens; Typefaces (Type evidence)","","","","Allen, David; Big Jump Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XTZRVR3","book","2014","Maryatt, Kitty; Maryatt, Kitty; Scripps College Typography and Book Arts Class; Scripps College Press; ArjoWiggins","Good data, bad data","","","","","","","2014","2024-10-15 14:17:26","2024-10-15 14:18:15","","","","","","","","","","","","","Scripps College Press","Claremont, California","eng","","","Artist's Books","Artist's Books","onesearch.wesleyan.edu","S375 G66 2014","","<div data-schema-version=""8""><p>Format</p> <p> 86 unnumbered pages (1 folded and 1 pull-down page) : color illustrations ; 26 cm</p> <p>Notes</p> <p>Grey cloth-covered Davey boards attached by tapes to 10 sewn signatures.</p> <p>Wesleyan copy: Number 90 of the limited edition.</p> <p>""Eight students worked assiduously over 14 weeks to present this book on the ramifications of the collection of big data. They printed with four Vandercooks on Rives Heavyweight paper, Softwhite in 12 pt. Gill Sans. Most of the images were carved in linoleum and printed in a choice of three colors. Several of the data sets were made into photopolymer plates and were printed letterpress."" Edition of 102 copies.--Colophon.</p> <p>Five areas of book design were first investigated: choice and use of type, layout of double-page spreads, coordination of image and text, title page layout, and book structure.--Scope of work.</p> <p>Student printers: Lily Alan, Jane Hoffswell, Gabrielle Das, Hilary Sager, Anya Leyhe, Etta Iannaccone, Aiko Utytterhaegen, Meredith Burchiel.</p> </div>","","","","2014; Artists' books; Big data; Book design; California; Claremont; Gill Sans; Letterpress printing; Limitation statements; Limited editions; Linocuts; Linoleum block-printing; Pictorial works; Printers' devices (Printing); Scripps College; Specimens; Study and teaching; Typefaces (Type evidence)","","","","Maryatt, Kitty; Scripps College Typography and Book Arts Class; Scripps College Press; ArjoWiggins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
