"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YAA3GHZF","book","1958","Barney, Caroline Clark; Blackburn, Paul; Dawson, Fielding; Barney, Caroline Clark","14 poets, 1 artist: December 12-14, 1958, New York","","","","","","","1958","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","14 poets, 1 artist","Jargon","31","","","J. Williams","Highlands, N.C","eng","","","","","onesearch.wesleyan.edu","YYP 9F77","","","","","","1900-1999; 20th century; American poetry","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YDQC3QZN","book","1936","Housman, A. E.; Barney, Caroline Clark","More poems","","","","","","","1936","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","A.A. Knopf","New York","eng","","","","","onesearch.wesleyan.edu","YYP H8m","","","","","","Dust jackets (Binding); English poetry; Gold blocked bindings (Binding); Inscriptions (Provenance); War poetry","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A8I9GASV","book","1894","Barney, Caroline Clark; Knowles, Frederic Lawrence; Barney, Caroline Clark; Knowles, Frederic Lawrence","Wesleyan verse","","","","","","","1894","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","Case, Lockwood & Brainard Co., Printers","Middletown, Conn","eng","","","","","onesearch.wesleyan.edu","YYP 9K73","","","","","","College verse, American; Connecticut; Middletown; Wesleyan University (Middletown, Conn.)","","","","Barney, Caroline Clark; Knowles, Frederic Lawrence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QG4LB6C4","book","1896","Philip, George; Yeats, Elizabeth Corbet; Barney, Caroline Clark; Cuala Press","Brushwork copy books","","","","","","","1896","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","George Philip","London and Liverpool","eng","","","","","onesearch.wesleyan.edu","ND2460 .Y4","","","","","","Botanical illustration; Flowers in art; Technique; Watercolor painting","","","","Barney, Caroline Clark; Cuala Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3GWHXPWR","book","1959","Brown, Bob; Barney, Caroline Clark; Jargon Society; Corinth Books","1450-1950","","","","","","","1959","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","Jargon","29","","","Jargon Books in association with Corinth Books","New York, New York","eng","","","","","onesearch.wesleyan.edu","PS3503.R8283 F6 1959","","","","","","20th century; New York; Poems; Visual poetry, American","","","","Barney, Caroline Clark; Jargon Society; Corinth Books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNK44HHM","book","1922","Millay, Edna St Vincent; Barney, Caroline Clark","A few figs from thistles: poems and sonnets","","","","","","","1922","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","A few figs from thistles","","","","","Frank Shay","New York","eng","","","","","onesearch.wesleyan.edu","YYP M64f","","","","","","Poetry","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URE8T4KX","book","1921","Yeats, W. B.; Barney, Caroline Clark","Selected poems","","","","","","","1921","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","Macmillan","New York","eng","","","","","onesearch.wesleyan.edu","YYP Y5s","","","","","","Irish poetry","","","","Barney, Caroline Clark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TZM4RRKU","book","1960","Barney, Caroline Clark; Williams, Jonathan; Barney, Caroline Clark; Zukofsky, Louis; Jargon Society","Amen, huzza, selah: poems, Black Mountain, 1956-9","","","","","","","1960","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","Amen, huzza, selah","Jargon","13","","","Jargon Society","Highlands, N.C","eng","","","","","onesearch.wesleyan.edu","YYP W7241am","","","","","","","","","","Barney, Caroline Clark; Zukofsky, Louis; Jargon Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D7WIFCJZ","book","1940","Todd, Ruthven; Barney, Caroline Clark; T and A Constable","Ten poems","","","","","","","1940","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","","","","","","T. & A. Constable Ltd.","Edinburgh","eng","","","","","onesearch.wesleyan.edu","YYP T63t 1940","","","","","","20th century; Edinburgh; Poems; Scotland","","","","Barney, Caroline Clark; T and A Constable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SA67SVFE","book","1923","Millay, Edna St Vincent; Barney, Caroline Clark; Harper & Brothers","The harp-weaver: and other poems","","","","","","","1923","2024-10-29 15:06:43","2024-10-29 15:06:43","","","","","","","","The harp-weaver","","","","","Harper & Brothers","New York ;","eng","","","","","onesearch.wesleyan.edu","YYP M64h","","","","","","20th century; Dust jackets (Binding); Poetry; Presentation inscriptions (Provenance); Pulitzer Prizes; Specimens; United States","","","","Barney, Caroline Clark; Harper & Brothers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
