"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"L3JHRX3G","book","1909","Caxton, William; Rhys, John; Malory, Thomas; Nathan Comfort Starr Collection of Arthuriana; Rhys, John; Beardsley, Aubrey","The birth life and acts of King Arthur: of his noble Knights of the Round Table their marvellous enquests and adventures the achieving of the San Greal and in the end Le morte Darthur with the dolourous death and departing out of this world of them all","","","","","","","1909","2024-10-15 13:50:33","2024-10-15 13:55:14","","","","","","","","The birth life and acts of King Arthur","","","","","J.M. Dent","London","eng","","","","Starr Collection","onesearch.wesleyan.edu","PR2043 .R5 1909","ISSN: 1000-9965","<div data-schema-version=""8""><p>Format</p> <p> liv, 624 pages, 25 unnumbered leaves of plates : illustrations ; 27 cm</p> <p>4to.</p> <p>Edition</p> <p>2nd ed.</p> <p>Notes</p> <p>Half title: Morte Darthur.</p> <p>Text modernized by F.J. Simmons.</p> <p>""This, the second edition of Le Morte Darthur, with Aubrey Beardsley's designs (and which is now issued in a single volume), is limited to 1000 copies for the United Kingdom and 500 for America, after printing which the type has been distributed""--Preliminary page.</p> <p>Illustrations include 10 designs for chapter headings omitted from 1st ed., which first appear in this ed. on p. 75, 113, 128, 133, 166, 276, 302, 330, 332, and 402.</p> <p>Double page ills. counted as 2 plates each in collation.</p> <p>Bound in green cloth, with designs by Beardsley as 1st ed., except design on upper cover reversed and device on lower cover blind and centered.</p> <p>Walker, R.A. Le morte Darthur with Beardsley illustrations.</p> <p>Gallatin, A.E. Beardsley, p. 36</p> <p>Wesleyan copy: With bookplates and signature of Nathan Comfort Starr.</p> </div>","","","","15th century; Arthurian romances; History; Middle English; Poems; rare books; Specimens","","","","Nathan Comfort Starr Collection of Arthuriana; Rhys, John; Beardsley, Aubrey","","","","","","","","","","","","","","","","2nd ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A7K2GWFE","book","1858","Malory, Thomas; Nathan Comfort Starr Collection of Arthuriana; Wright, Thomas","La mort d'Arthure. The history of King Arthur and of the knights of the Round Table.","","","","","","","1858","2024-10-15 13:50:50","2024-10-15 13:55:05","","","","","","","","","Library of old authors","","","","J.R. Smith","London","eng","","","","Starr Collection","onesearch.wesleyan.edu","PR2043 .W7 1858","","<div data-schema-version=""8""><p>Format</p> <p> 3 volumes 18 cm.</p> <p>8vo.</p> <p>Table of Contents</p> <p>• Vols. I-III.</p> <p>Notes</p> <p>Wesleyan copy: With owner's signature: ""Nathan C Starr, the gift of Jane H. Lovejoy, Aug. 2, 1959"".</p> </div>","","","","Arthurian romances","","","","Nathan Comfort Starr Collection of Arthuriana; Wright, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSB8FT5X","book","1898","Perlesvaus","The high history of the Holy Graal","","","","","","","1898","2024-10-15 13:52:28","2024-10-15 13:55:03","","","","","","","","","Half-title: The Temple classics; ed. by Israel Gollancz","","","","J.M. Dent and Co.","London","eng","","","","Starr Collection","onesearch.wesleyan.edu","PQ1501.P35 A44 1899","ISSN: 0102-5147","<div data-schema-version=""8""><p>Format</p> <p> 2 volumes frontispieces 16 cm.</p> <p>Edition</p> <p>[2d ed.].</p> <p>Notes</p> <p>Title within ornamental border; added t.p., illustrated.</p> <p>""This book is translated from the first volume of Perceval le Gallois ou le conte du Graal; edited by M. Ch. Potvin for 'La Société des bibliophiles belges' in 1866""--Translator's epilogue, v. 2, p. 283.</p> </div>","","","","Grail; Légendes; Legends; legends (literary genre)","","","","","","","","","","","","","","","","","","","","[2d ed.].","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJABYWZV","book","1718","Geoffrey; Nathan Comfort Starr Collection of Arthuriana","The British history, translated into English from the Latin of Jeffrey of Monmouth: With a large preface concerning the authority of history","","","","","","","1718","2024-10-15 13:53:01","2024-10-15 13:55:12","","","","","","","","The British history, translated into English from the Latin of Jeffrey of Monmouth","","","","","J. Bowyer","London","eng","","","","Starr Collection","onesearch.wesleyan.edu","DA140.G4 T5 1718","","<div data-schema-version=""8""><p>Format</p> <p> cxi, 8 leaves 401 pages 26 leaves ; 20 cm</p> <p>Notes</p> <p>Wesleyan copy: With bookplate of Nathan Comfort Starr. Grolier Clubexhibition label laid in.</p> </div>","","","","Great Britain; History; To 449","","","","Nathan Comfort Starr Collection of Arthuriana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7WYWBG3S","book","1929","Gray, H. J. B.; Vinaver, Eugène; Williams, F. M.; Nathan Comfort Starr Collection of Arthuriana; Arthurian Society","Arthuriana","","","","","","","1929","2024-10-15 13:53:59","2024-10-15 13:55:10","","","","","","","","","","","","","B.H. Blackwell","Oxford","eng","","","","Starr Collection","onesearch.wesleyan.edu","PN685 .A7","","<div data-schema-version=""8""><p>Format</p> <p> 2 volumes ; 23 cm</p> <p>Table of Contents</p> <p>• V.1 Proceedings of the Arthurian society <br>• V. 2 A review of mediaeval studies.</p> <p>Notes</p> <p>V. 1: Jan. 1928-Jan. 1929 ; v.2: Jan. 1929-June 1930.</p> <p>Rev. H.J.B. Gray is co-editor of v.1; F.M. Williams of v.2.</p> <p>Includes bibliographical references.</p> <p>Wesleyan copy: With owner's signature (v.2) : ""NC Starr Dec. 1948"".</p> </div>","","","","Arthur, King; Literature, Medieval; Periodicals","","","","Nathan Comfort Starr Collection of Arthuriana; Arthurian Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JM3L49ET","book","1871","Hunt, Robert; Thornton, G.; Nathan Comfort Starr Collection of Arthuriana","Popular romances of the west of England; or, The drolls, traditions, and superstitions of old Cornwall.","","","","","","","1871","2024-10-15 13:54:20","2024-10-15 13:55:08","","","","","","","","","","","","","J.C. Hotten","London","eng","","","","Starr Collection","onesearch.wesleyan.edu","GR142.C7 H7 1871","","<div data-schema-version=""8""><p>Format</p> <p> 475 pages illustrations 20 cm</p> <p>Edition</p> <p>2d ed.</p> <p>Table of Contents</p> <p>• Ser. 1. The giants. The fairies. Tregeagle. The mermaids. The rocks. Lost cities. Fire worship. Demons and spectres <br>• ser. 2. The saints. Holy wells. King Arthur. Sorcery and witchcraft. The miners. Fishermen and sailors. Death superstitions. Old usages. Popular superstitions. Miscellaneous stories.</p> <p>Notes</p> <p>Includes bibliographical references.</p> <p>Wesleyan copy: With bookplates of [G. Thornton?] and Nathan Comfort Starr.</p> </div>","","","","Cornwall (County); England; Folklore; Legends","","","","Thornton, G.; Nathan Comfort Starr Collection of Arthuriana","","","","","","","","","","","","","","","","2d ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UWN785MY","book","1971","Pochoda, Elizabeth T.","Arthurian propaganda; Le morte Darthur as an historical ideal of life","","978-0-8078-1159-7","","","","","1971","2024-10-15 13:54:45","2024-10-15 13:54:57","","","","","","","","","","","","","University of North Carolina Press","Chapel Hill","eng","","","","Starr Collection","onesearch.wesleyan.edu","PR2045 .P6","","<div data-schema-version=""8""><p>Format</p> <p> xii, 185 pages 23 cm</p> <p>Table of Contents</p> <p>- The ""Historical ideal of life"": Le Morte Darthur, Tales I-V <br>The Arthurian legend exposed: Le Morte Darthur, Tales V-VIII.<br></p> <p>• A review of earlier Malory Scholarship with some suggestions for further studies <br>• Medieval political theory and the Arthurian legend</p> <p>Notes</p> <p>Includes bibliographical references (pages 141-182).</p> <p>Wesleyan Special Collections copy: In dust jacket as issued. With owner's signature: ""Nathan C Starr New York Jan. 22, 1973"".</p> </div>","","","","Arthurian romances; Artursagan; Conduct of life in literature; Criticism, interpretation, etc; Didactic literature, English; Festschriften; History and criticism; Kings and rulers in literature; Knights and knighthood in literature; Malory, Thomas 1410-1471 Le morte Darthur; Malory, Thomas Morte Darthur; Malory, Thomas, Sir, active 15th century Morte d'Arthur; Morte d'Arthur (Malory, Thomas, Sir); Morte Darthur (Malory); Romances, English; Social ethics in literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
