"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GTUVT9LZ","book","1854","","Leaflets of memory: an illuminated annual for MDCCLIV.","","","","","","","1854","2024-10-15 13:45:20","2024-10-15 13:46:55","","","","","","","","Leaflets of memory","","","","","Published by E.H. Butler & Co.","Philadelphia","eng","","","","Baskin Collection","onesearch.wesleyan.edu","AY11 .L63 1854","","<div data-schema-version=""8""><p>Format</p> <p> [v]-xvi, [17]-314, 11 plates ; 24 cm. (8vo)</p> <p>Notes</p> <p>Red leather with gold embossing.</p> <p>Mezzotints by John Sartain.</p> <p>Chromolithographs by Thomas Sinclair.</p> <p>Plates included in pagination and include frontispiece and added engraved t.p.</p> <p>Faxon 475</p> </div>","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HMUSCVQ","book","1853","Fletcher, J. M.; Fletcher, J. M.","The Golden gift: a token for all seasons.","","","","","","","1853","2024-10-15 13:46:54","2024-10-15 13:47:27","","","","","","","","The Golden gift","","","","","J. Buffum","Boston","eng","","","","Baskin Collection","onesearch.wesleyan.edu","AY11 .G64 1853","","<div data-schema-version=""8""><p>Format</p> <p> viii, 128 pages color frontispiece 11 x 7 cm</p> <p>Notes</p> <p>Inscribed: ""Hannah E. Avery from her friend L.M.T. Bulier""</p> </div>","","","","","","","","Fletcher, J. M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCF4CNTC","book","1840","Mayo, Sarah C. Edgarton","The Rose of Sharon.","","","","","","","1840","2024-10-15 13:47:48","2024-10-15 13:49:52","","","","","","","","","","","","","A. Tompkins and B.B. Mussey","Boston, Mass","eng","","","","Baskin Collection","onesearch.wesleyan.edu","AY11 .R68","ISSN: 1945-1962 Publication Title: The Rose of Sharon.","<div data-schema-version=""8""><p>Format</p> <p> 18 volumes : illustrations ; 17 cm</p> <p>Notes</p> <p>1848 inscribed: ""Mrs. C. B. Permenter, Worcester, Mass.""</p> <p>1851 inscribed: ""Mrs. L. A. Campbell.""</p> <p>1854 inscribed over picture ""The Bride,"" ""Looks pretty enough to kiss -- Geo""</p> <p>1840-1849 edited by Mrs. Sarah Carter Edgarton Mayo; 1850-[1857] edited by Mrs. C. M. Sayer.</p> <p>Thompson, R. American literary annuals &amp; gift books, 1825-1865, pages 152-153</p> </div>","","","","19th century; Gift books; Periodicals; United States.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6AQ32YVV","book","1844","Keese, John; Hale, Sarah Josepha Buell; Willis, Nathaniel Parker; Chapman, J. G.","The Opal: a pure gift for the holy days.","","","","","","","1844","2024-10-15 13:48:14","2024-10-15 13:49:49","","","","","","","","The Opal","","","","","J.C. Riker","New York","eng","","","","Baskin Collection","onesearch.wesleyan.edu","AY11 .O7","ISSN: 0487-7152 Publication Title: The Opal : a pure gift for the holy days.","<div data-schema-version=""8""><p>Format</p> <p> 6 volumes : illustrations ; 20-23 cm</p> <p>Notes</p> <p>1848, copy 1: brown leather with gold; presentation page (blank); copy 2: black saffian grain leather with gold, no presentation page remains.</p> <p>Subtitle varies slightly.</p> <p>Illustrated, 1844-1847, by J.G. Chapman.</p> <p>Editor: 1844, N.P. Willis; 1845, 1848-1849, Mrs. Sarah J. Hale; 1846-1847, John Keese.</p> </div>","","","","Christian literature, American; Gift books; Periodicals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L6NTNFCV","book","185","","Philopena Album.","","","","","","","0185","2024-10-15 13:48:26","2024-10-15 13:49:57","","","","","","","","","","","","","Leavitt & Allen","New York","eng","","","","Baskin Collection","onesearch.wesleyan.edu","AY11 .P76","","<div data-schema-version=""8""><p>Format</p> <p> 1 volume (unpaged) illustrations 20 cm</p> <p>Notes</p> <p>Manuscript.</p> <p>Cover title: Philopoena Album.</p> <p>Inscription: A birthday present to Miss Mollie Kennard, June 1860.</p> </div>","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DM3UV7WM","book","1837","Clark, Willis Gaylord","The parlour scrap book: comprising fourteen engravings, with poetical illustrations.","","","","","","","1837","2024-10-15 13:48:44","2024-10-15 13:49:40","","","","","","","","The parlour scrap book","","","","","Carey, Lea, and Blanchard","Philadelphia","eng","","","","Baskin Collection","onesearch.wesleyan.edu","AY11 .C52 1837","","<div data-schema-version=""8""><p>Format</p> <p> 5 pages, leaf, 9-71, [1] pages : illustrations ; 28 cm</p> <p>Notes</p> <p>Added title page, engraved (with vignette)--has title: The parlour scrap book for 1838.</p> <p>Bound in embossed black leather by Benjamin Gaskill, Philadelphia.</p> <p>Wolf. From gothic windows to peacocks No. 214</p> </div>","","","","1837; 1838; Embossed bindings (Binding); Gift books; Gilt edges (Binding); Initials (Provenance); Intaglio prints; Leather bindings (Binding); Signed bindings (Binding)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB9I29DZ","book","1850","Dwight, M. A.; Gates, Stedman & Co","Harvest gleanings: a holiday book","","","","","","","1850","2024-10-15 13:48:56","2024-10-15 13:49:43","","","","","","","","Harvest gleanings","","","","","Gates, Stedman & Company","New-York","eng","","","","Baskin Collection","onesearch.wesleyan.edu","AY11 .D9 1850","ISSN: 0107-6507","<div data-schema-version=""8""><p>Format</p> <p> 240 pages, [6] leaves of color plates : illustrations ; 22 cm</p> <p>Notes</p> <p>Added title page, engraved.</p> </div>","","","","Collections; Gift books; Literature","","","","Gates, Stedman & Co","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHSTJWE9","book","1851","","The ladies' gift, or souvenir of friendship.","","","","","","","1851","2024-10-15 13:49:10","2024-10-15 13:50:01","","","","","","","","","","","","","D.P. King","Boston","eng","","","","Baskin Collection","onesearch.wesleyan.edu","AY11 .L32b 1851","","<div data-schema-version=""8""><p>Format</p> <p> 324 pages, 3 unnumbered leaves of plates : illustrations (some color) ; 19 cm</p> <p>Table of Contents</p> <p>• White Thorne farm / by Miss Agnes Strickland.</p> <p>Notes</p> <p>Inscribed: ""Presented to Miss J.S. by her friend F.W.A.""</p> <p>Added t.p., engraved and colored.</p> <p>Reissue of The Amaranth, 1847, ""with first article changed, all but 2 pl. omitted."" Cf. F.W. Faxon. Lit. ann. &amp; gift books.</p> </div>","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34L6VN4A","book","1853","","The Mother's and young lady's annual: a gift book for the holidays : with forty-two engravings and flowers.","","","","","","","1853","2024-10-15 13:49:26","2024-10-15 13:50:04","","","","","","","","The Mother's and young lady's annual","","","","","C. Stone","Boston","eng","","","","Baskin Collection","onesearch.wesleyan.edu","AY11 .M68 1853","","<div data-schema-version=""8""><p>Format</p> <p> 200, 201 pages : illustrations (some color), music ; 23 cm</p> <p>Notes</p> <p>Royal blue with gold embossing.</p> </div>","","","","Gift books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
