Location Name,Title,Permanent Call Number,Author
Hallock Collection,"A memorial of Fitz-Greene Halleck : a description of the dedication of the monument erected to his memory at Guilford, Connecticut; and of the proceedings connected with the unveiling of the poet's statue in the Central Park, New York ...",H18ydm,"Duyckinck, Evert A. 1816-1878, editor. (Evert Augustus),"
Hallock Collection,"A memorial of Fitz-Greene Halleck: a description of the dedication of the monument erected to his memory at Guilford, Connecticut; and of the proceedings connected with the unveiling of the poet's statue in the Central park, New York.",H18ydma,"Duyckinck, Evert A. 1816-1878, editor. (Evert Augustus),"
Hallock Collection,A midnight fantasy : and the little violinist. /,A36mi,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,A mortal antipathy : first opening of the new portfolio /,H75mo,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,A new library of poetry and song /,B91n,
Hallock Collection,"A pilgrimage to Salem in 1838,",H39yp6,
Hallock Collection,"A popular history of the United States, from the first discovery of the western hemisphere by the Northmen, to the end of the first century of the union of the states. Preceded by a sketch of the prehistoric period and the age of the mound builders,",B91po,"Bryant, William Cullen, 1794-1878."
Hallock Collection,A primer of Wordsworth; with a critical essay.,W92ym,"Magnus, Laurie, 1872-1933."
Hallock Collection,A primer of book collecting /,W788p,"Winterich, John T., 1891-1970."
Hallock Collection,"A record of the commemoration, November fifth to eight, 1886, on the two hundred and fiftieth anniversary of the founding of Harvard College.",L91xh,Harvard University.
Hallock Collection,"A sea turn, and other matters /",A36s,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,"A selection from the sonnets of William Wordsworth,",W92sos,"Wordsworth, William, 1770-1850."
Hallock Collection,"A sermon delivered at the ordination of Rev. Chandler Robbins, over the Second Congregational Church in Boston, December 4, 1833 /",E53xw,"Ware, Henry, 1794-1843."
Hallock Collection,"A sonnet to Thomas Bailey Aldrich in answer to his sonnet ""On Reading 'The purple East.'""",A36yw,"Watson, William, 1858-1935."
Hallock Collection,A study of Hawthorne /,H39yl,"Lathrop, George Parsons, 1851-1898."
Hallock Collection,A testimonial to Charles J. Paine and Edward Burgess from the city of Boston : for their successful defence of the America's Cup.,H75xb747,
Hallock Collection,"A virtuoso's collection, and other tales.",H39v,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,A week on the Concord and Merrimack rivers /,T48wea,"Thoreau, Henry David, 1817-1862."
Hallock Collection,"A year in China; and a narrative of capture and imprisonment, when homeward bound, on board the rebel pirate Florida.",B91xw,"Williams, Martha Noyes, ""Mrs. H. D. Williams."""
Hallock Collection,"About books in general and Henry Fielding in particular,",H29ab,"Harper, Henry Howard, 1871-1953."
Hallock Collection,"Abraham Lincoln and Walt Whitman,",W61yb29,"Barton, William E. 1861-1930. (William Eleazar),"
Hallock Collection,"Abu Hassan,",I72a,"Irving, Washington, 1783-1859."
Hallock Collection,"Address and poem read at Bowdoin College June 26, 1907, in commemoration of the centenary of the birth of Henry Wadsworth Longfellow of the class of 1825.",L85yb,Bowdoin College.
Hallock Collection,"Address delivered at the dedication of the hall of the Boston medical library association, on December III, MDCCCLXXVIII,",H75ad,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,Address delivered on the centennial anniversary of the birth of Alexander von Humboldt : under the auspices of the Boston Society of Natural History : with an account of the evening reception /,H75xa2,"Agassiz, Louis, 1807-1873, author."
