Location Name,Title,Permanent Call Number,Author
Hallock Collection,English traits.,E53enc,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Eolopoesis, American rejected addresses : now first published from the original manuscripts.",B59e,"Bigelow, Jacob, 1786-1879."
Hallock Collection,Erza?hlungen eines Reisenden /,I72tg,"Irving, Washington, 1783-1859."
Hallock Collection,Essays /,E53essgd,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Essays : first series /,E53essd,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Essays : second series /,E53essb v.2,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,,E53essda,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Essays and poems /,E53xv,"Very, Jones, 1813-1880."
Hallock Collection,Essays in literary criticism.,W92yh9,"Hutton, Richard Holt, 1826-1897."
Hallock Collection,"Essays, lectures and orations. /",E53esse,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Essays.,E53essc,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Evangeline /,L85evc,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,,L85evea,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Evangeline : a tale of Acadie /,L85evb,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,,L85evca,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,"Evangeline,",L85eve,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,"Evangeline, : a tale of Acadie. /",L85ev,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,"Evangeline, amerikanische Idylle,",L85evg,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Evangeline: a tale of Acadie.,L85eva,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,"Evangeline; a tale of Acadie,",L85evd,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Excelsior /,L85ex,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Excursions.,T48ex,"Thoreau, Henry David, 1817-1862."
Hallock Collection,"Exercises in celebrating the two hundred and fiftieth anniversary of the settlement of Cambridge held December 28, 1880.",H75xc,
Hallock Collection,Facts about Poe : portraits and daguerreotypes of Edgar Allan Poe /,P74ys,"Schulte, Amanda Pogue, author."
Hallock Collection,Fall of the house of Usher ; Ligeia ; The cask of Amontillado ; The assignation ; Ms. found in a bottle ; The black cat ; The gold-bug /,P74fa,"Poe, Edgar Allan, 1809-1849."
Hallock Collection,Familiar letters of Henry David Thoreau /,T48f,"Thoreau, Henry David, 1817-1862."
Hallock Collection,Familiar studies of men and books.,W61ys8f,"Stevenson, Robert Louis, 1850-1894."
Hallock Collection,Fanny ...,H18fb,"Halleck, Fitz-Greene, 1790-1867."
Hallock Collection,Fanny ... from the edition of 1821.,H18fe,"Halleck, Fitz-Greene, 1790-1867."
Hallock Collection,Fanny : with other poems /,H18fd,"Halleck, Fitz-Greene, 1790-1867."
Hallock Collection,Fanny. [Four lines from Milton].,H18fa,"Halleck, Fitz-Greene, 1790-1867."
Hallock Collection,Fanny: a poem ...,H18fc,"Halleck, Fitz-Greene, 1790-1867."
Hallock Collection,Fanshawe : and other pieces /,H39f,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,Favorite poems /,H75f,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,Fenimore Cooper et Edgar Poe; d'apre?s la critique franc?aise du dix-neuvie?me sie?cle.,P74ym87,"Morris, George Davis, 1864-"
Hallock Collection,"Field and hedgerow, being the last essays of Richard Jefferies;",J45f,"Jefferies, Richard, 1848-1887."
Hallock Collection,Final memorials of Henry Wadsworth Longfellow;,L85f,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Fireside travels /,L91fia,"Lowell, James Russell, 1819-1891."
Hallock Collection,Fireside travels.,L91fi,"Lowell, James Russell, 1819-1891."
Hallock Collection,Fitz-Greene Halleck : a memorial /,H18yc,"Cozzens, Frederic S. 1818-1869. (Frederic Swartwout),"
Hallock Collection,"Fitz-Greene Halleck,",H18yd,"Duyckinck, Evert A. 1816-1878. (Evert Augustus),"
Hallock Collection,"Florida : its scenery, climate, and history : with an account of Charleston, Savannah, Augusta, and Aiken : a chapter for consumptives; various papers on fruit-culture : and a complete hand-book and guide /",L28f,"Lanier, Sidney, 1842-1881."
Hallock Collection,"Flower and thorn, later poems.",A36fl,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,Flower-de-luce /,L85fl,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,"Footprints on the seashore,",H39fo,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,"Fortune of the republic : lecture delivered at the Old South Church, March 30, 1878 /",E53f,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Franklin Evans : or the inebriate, a tale of the times /",W61f,"Whitman, Walt, 1819-1892, author."
Hallock Collection,"Free religion : report of addresses at a meeting held in Boston, May 30, 1867, to consider the conditions, wants, and prospects of free religion in America ; Together with the constitution of the Free Religious Association there organized.",E53xf,
Hallock Collection,"Friar Jerome's beautiful book, /",A36fra,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,Friendship.,E53fra,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,From Ponkapog to Pesth.,A36fro,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,From day to day with Whittier /,W62fr,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,Gedichte /,W92pog,"Wordsworth, William, 1770-1850."
Hallock Collection,Genealogical history of the Lee family of Virginia and Maryland from A.D. 1300 to A.D. 1866 : with notes and illustrations /,M47g,"Mead, Edward C. 1837-1908. (Edward Campbell),"
Hallock Collection,Genealogical memoranda relating to the family of Wordsworth.,W92yb4,"Bedford, Edwin Jackson."
Hallock Collection,Golden songs of great poets ...,G61,
Hallock Collection,Good-bye my fancy : 2nd annex to Leaves of grass.,W61go,"Whitman, Walt, 1819-1892."
Hallock Collection,Grandfather's chair: a history for youth.,H39gr,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,"Guilford portraits; memorial epitaphs of Alderbrook and Westside with introductory elegies and essay,",H18yr,"Robinson, Henry Pynchon, 1840-1913."
Hallock Collection,Hans Pfaalls Mondfahrt /,P74hg,"Poe, Edgar Allan, 1809-1849."
Hallock Collection,Harvardiana.,L91xh33,
Hallock Collection,Hawthorne /,H39ya,"Arvin, Newton, 1900-1963."
Hallock Collection,,H39yj,"James, Henry, 1843-1916."
Hallock Collection,,H39yja,"James, Henry, 1843-1916."
Hallock Collection,Hawthorne : a study in solitude /,H39yg,"Gorman, Herbert Sherman, 1893-1954."
Hallock Collection,Hawthorne and his friends : reminiscence and tribute /,H39ys,"Sanborn, F. B. 1831-1917. (Franklin Benjamin),"
Hallock Collection,Hawthorne and his publisher,H39yt,"Ticknor, Caroline, 1866-1937."
Hallock Collection,"Hawthorne's ""Pot-8-O Club"" at Bowdoin College.",H39yh39,"Tapley, Harriet Silvester, 1870-1962."
Hallock Collection,Hawthorne's country.,H39yc,"Clarke, Helen A. 1860-1926. (Helen Archibald),"
Hallock Collection,"Hawthorne's first diary, with an account of its discovery and loss,",H39yps,"Pickard, Samuel Thomas, 1828-1915."
Hallock Collection,"Hawthorne, and other poems /",H39ys8,"Stedman, Edmund Clarence, 1833-1908."
Hallock Collection,Hazel-blossoms /,W62h,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,"Heads of the people : or, Portraits of the English /",H43,
Hallock Collection,Heartsease and rue /,L91h,"Lowell, James Russell, 1819-1891 author."
Hallock Collection,,L91ha,"Lowell, James Russell, 1819-1891."
Hallock Collection,Henry D. Thoreau : Emerson's obituary.,E53he,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,,T48ye,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Henry Thoreau, bachelor of nature,",T48yb,"Bazalgette, Le?on, 1873-1928."
Hallock Collection,,T48yba,"Bazalgette, Le?on, 1873-1928."
Hallock Collection,"Henry Thoreau, the cosmic yankee,",T48ya,"Atkinson, Brooks, 1894-1984."
Hallock Collection,"Henry W. Longfellow : Biography, anecdote, letters, criticism /",L85yk,"Kennedy, William Sloane, 1850-1929, author."
Hallock Collection,Henry Wadsworth Longfellow : a biographical sketch /,L85yu,"Underwood, Francis Henry, 1825-1894 author."
Hallock Collection,Henry Wadsworth Longfellow : a medley in prose and verse /,L85ys8,"Stoddard, Richard Henry, 1825-1903."
Hallock Collection,"Henry Wadsworth Longfellow,",L85yh,"Higginson, Thomas Wentworth, 1823-1911."
Hallock Collection,"Henry Wadsworth Longfellow. Seventy-eighth birthday. Proceedings of the Maine Historical Society, February 27, 1885.",L85ymh,Maine Historical Society.
Hallock Collection,"Henry Wadsworth Longfellow. Seventy-fifth birthday. Proceedings of the Maine historical society, February 27, 1882.",L85ym,Maine Historical Society.
Hallock Collection,"Herbert Spencer on the Americans and the Americans on Herbert Spencer. Being a full report of his interview, and of the proceedings of the farewell banquet of Nov. 11, 1882.",H75xy,"Youmans, Edward Livingston, 1821-1887."
Hallock Collection,"Highlights of foreign travel; a memorable journey to Palestine, Egypt, Italy, and the battle front in France,",H29hi,"Harper, Henry Howard, 1871-1953."
Hallock Collection,Histoires extraordinaires /,P74tfa,"Poe, Edgar Allan, 1809-1849, author."
Hallock Collection,"History of Pennsylvania Hall : which was destroyed by a mob, on the 17th of May, 1838 ...",W62xp4,"Pennsylvania Hall Association (Philadelphia, Pa.)"
Hallock Collection,"Hodge and his masters,",J45ho,"Jefferies, Richard, 1848-1887."
Hallock Collection,"Home authors and home artists; or, American scenery, art, and literature.",H76,
Hallock Collection,Home ballads and poems /,W62hoa,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,Home ballads and poems.,W62ho,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,Home life of great authors /,G87,"Griswold, Hattie Tyng, 1840-1909."
Hallock Collection,"Homes of American authors; comprising anecdotical, personal, and descriptive sketches, by various writers ...",H767,
Hallock Collection,Homoepathy and its kindred delusions : two lectures delivered before the Boston Society for the Diffusion of Useful Knowledge /,H75h,"Holmes, Oliver Wendell, 1809-1894, author."
Hallock Collection,Horatian echoes : translations of the odes of Horace /,H75xh8,Horace.
Hallock Collection,Hospital sketches /,A35h,"Alcott, Louisa May, 1832-1888."
Hallock Collection,Host bibliographic record for boundwith item barcode 17800691001,L91in,
Hallock Collection,Household poems /,L85ho,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,How to collect books.,S63h,"Slater, J. Herbert 1854-1921. (John Herbert),"
Hallock Collection,Human documents; portraits and biographies of eminent men; articles,H75yh9,
Hallock Collection,"Humoristische Geschichte von New-York, von Anbeginn der Welt bis zur Endschaft der holla?ndischen Dynastie ... In sieben Bu?chern.",I72hg,"Irving, Washington, 1783-1859."
Hallock Collection,Humorous poems.,H75hu,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,"Hymn, 1776-1876",W62xp,"Paine, John Knowles, 1839-1906."
Hallock Collection,Hymns.,B91h,"Bryant, William Cullen, 1794-1878."
Hallock Collection,Hyperion /,L85hyd,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Hyperion : a romance /,L85hyb,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Hyperion : a romance.,L85hya,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,"Il carnefice di Berna, o, L'Abazia de' Vignaiuoli /",C777si,"Cooper, James Fenimore, 1789-1851."
Hallock Collection,Il libro delle maraviglie /,H39wi,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,Il mondo delle maraviglie /,H39tni,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,Il pesceballo : opera seria in un atto /,L91xc53,"Child, Francis James, 1825-1896."
Hallock Collection,Il poema dei pellirosse = The song of Hiawatha /,L85soi,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Illustrated poems of Oliver Wendell Holmes /,H75i,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,Illustrations of Rip Van Winkle /,I72r,"Irving, Washington, 1783-1859, author."
Hallock Collection,Illustrations of the Legend of Sleepy Hollow /,I72l,"Irving, Washington, 1783-1859."
Hallock Collection,Impressions of Spain /,L91li,"Lowell, James Russell, 1819-1891."
Hallock Collection,"In memoriam. Ralph Waldo Emerson: Recollections of his visits to England in 1833, 1847-8, 1872-3, and extracts from unpublished letters.",E53yi,"Ireland, Alexander, 1810-1894."
Hallock Collection,In the harbor /,L85ia,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,In the harbor: Ultima Thule.- Part II.,L85i,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,"In the woods with Bryant, Longfellow, and Halleck.",B91xh8,"Hows, John Augustus, 1832-1874, illustrator."
Hallock Collection,In war time : and other poems /,W62i,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,"Incidental poems accompanied with letters, and a few select pieces, mostly original, for their illustration, together with a preface, and sketch of the author's life.",W62xd,"Dinsmoor, Robert, 1757-1836."
Hallock Collection,Indian civilization: : a lecture /,W62xp98,"Pumphrey, Stanley, 1837-1881."
Hallock Collection,Intellect ...,E53i,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Intimations of immortality from recollections of early childhood /,W92oa,"Wordsworth, William, 1770-1850."
Hallock Collection,Irving vignettes : vignette illustrations of writings of Washington Irving /,I72yi7,"Irving, Washington, 1783-1859."
Hallock Collection,Irvingiana: a memorial of Washington Irving ...,I72yi72,"Duyckinck, Evert A. 1816-1878. (Evert Augustus),"
Hallock Collection,Israfel : the life and times of Edgar Allan Poe /,P74ya4,"Allen, Hervey, 1889-1949."
Hallock Collection,Jack Brass : emperor of England /,J45j,"Jeffries, Richard, 1848-1887."
Hallock Collection,Jack in the pulpit /,W62j,"Smith, Carrie."
Hallock Collection,James Russell Lowell /,L91yh1,"Hale, Edward Everett, Jr., 1863-1932."
Hallock Collection,James Russell Lowell : a biography /,L91ys,"Scudder, Horace Elisha, 1838-1902, author."
Hallock Collection,James Russell Lowell and his friends /,L91yh,"Hale, Edward Everett, 1822-1909, author."
Hallock Collection,James Russell Lowell; a biographical sketch,L91yu,"Underwood, Francis Henry, 1825-1894."
Hallock Collection,James Russell Lowell; an address,L91yc,"Curtis, George William, 1824-1892."
Hallock Collection,John Greenleaf Whittier : a sketch of his life /,W62jo,"Perry, Bliss, 1860-1954."
Hallock Collection,,W62joa,"Perry, Bliss, 1860-1954."
Hallock Collection,"John Greenleaf Whittier, his life and work,",W62yl,"Lewis, Georgina King, -1924."
Hallock Collection,"John Greenleaf Whittier; his life, genius, and writings,",W62yk,"Kennedy, William Sloane, 1850-1929."
Hallock Collection,John Lothrop Motley : a memoir /,H75j,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,,H75ja,"Holmes, Oliver Wendell, 1809-1894, author."
Hallock Collection,John Morley and other essays /,W92yh,"Harper, George McLean, 1863-1947 author."
Hallock Collection,Journal of Washington Irving (1823-1824),I72j,"Irving, Washington, 1783-1859."
Hallock Collection,Journal of a few months residence in Portugal and glimpses of the south of Spain.,W92xq,"Wordsworth, Dora, 1804-1847."
Hallock Collection,"Journal of an African cruiser: comprising sketches of the Canaries, the Cape de Verds, Liberia, Madeira, Sierra Leone, and other places of interest on the west coast of Africa.",H39xb,"Bridge, Horatio, 1806-1893."
Hallock Collection,"Journal up the straits, October 11, 1856-May 5, 1857 /",M53j,"Melville, Herman, 1819-1891."
Hallock Collection,Journals of Ralph Waldo Emerson : with annotations /,E53j,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Jubilee days : an illustrated daily record of the humorous features of the World's Peace Jubilee /,A36xj,
Hallock Collection,Judith and Holofernes. A poem.,A36j,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,"Judith of Bethuli?a, a tragedy,",A36ju,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,Kavanagh : Erza?hlung /,L85kg,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Kavanagh : a tale /,L85k,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,,L85ka,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Kavanagh: a tale.,L85kb,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Ke?ramos : and other poems /,L85kr,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,,L85kra,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,"Knickerbocker's History of New York, from the beginning of the world to the end of the Dutch dynasty ... being the only authentic history of the times that ever hath been published,",I72hb,"Irving, Washington, 1783-1859."
Hallock Collection,Kossuth in New England : a full account of the Hungarian governor's visit to Massachusetts /,E53xk,
Hallock Collection,"L'anima, la natura e la saggezza; saggi prima serie e seconda serie.",E53ani,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"La jeunesse de William Wordsworth, 1770-1798; e?tude sur le ""Pre?lude"";",W92yl5j,"Legouis, Emile, 1861-1937."
Hallock Collection,La lettera rossa /,H39sci,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,La reine de Saba /,A36qf,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,La vie inspire?e d'Emerson ...,E53ym6v,"Michaud, Re?gis, 1880-1939."
Hallock Collection,Lafayette in Brooklyn /,W61l,"Whitman, Walt, 1819-1892."
Hallock Collection,Last poems of James Russell Lowell.,L91l,"Lowell, James Russell, 1819-1891, author."
Hallock Collection,"Later lyrics; selected from Mercedes, The sisters' tragedy, Wyndham towers and Unguarded gates.",A36l,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,Latest literary essays and addresses of James Russell Lowell /,L91lat,"Lowell, James Russell, 1819-1891."
Hallock Collection,"Lays of my home, and other poems,",W62lay,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,"Leaves from Margaret Smith's journal in the province of Massachusetts Bay, 1678-9.",W62le,"Whittier, John Greenleaf, 1807-1892 author."
Hallock Collection,"Leaves of grass : preface to the original edition, 1855 /",W61leba,"Whitman, Walt, 1819-1892."
Hallock Collection,Lebensfu?hrung /,E53cogc,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Lectures and biographical sketches,",E53l,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Lectures delivered in a course before the Lowell Institute in Boston by members of the Massachusetts Historical Society on subjects relating to the early history of Massachusetts.,H75xm,
Hallock Collection,Legends and lyrics from the poetic works of John Greenleaf Whittier.,W62leg,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,Legends of New England.,H39l,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,Legends of New-England ...,W62lg,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,Legends of the Province House.,H39le,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,Legends of the conquest of Spain.,I72le,"Irving, Washington, 1783-1859."
Hallock Collection,"Les lois de la vie,",E53cof,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Les poe?mes d'Edgar Poe /,P74pf,"Poe, Edgar Allan, 1809-1849."
Hallock Collection,Letters and recollections of John Murray Forbes /,H75xf,"Forbes, John Murray, 1813-1898."
Hallock Collection,Letters and social aims.,E53le,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Letters from Ralph Waldo Emerson to a friend, 1838-1853 /",E53let,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Letters from Sunnyside and Spain /,I72les,"Irving, Washington, 1783-1859 author."
Hallock Collection,"Letters from an outsider to an insider,",H29la,"Harper, Henry Howard, 1871-1953."
Hallock Collection,Letters from an outsider to an insider.,H29l,"Harper, Henry Howard, 1871-1953."
Hallock Collection,"Letters from the East,",B91le,"Bryant, William Cullen, 1794-1878."
Hallock Collection,"Letters of Henry Brevoort to Washington Irving, together with other unpublished Brevoort papers,",I72yb,"Brevoort, Henry, 1782-1848."
Hallock Collection,Letters of James Russell Lowell /,L91lea,"Lowell, James Russell, 1819-1891."
Hallock Collection,"Letters of James Russell Lowell,",L91le,"Lowell, James Russell, 1819-1891."
Hallock Collection,Letters of John Holmes to James Russell Lowell and others /,L91yh7,"Holmes, John, 1812-1899."
Hallock Collection,"Letters of Lydia Maria Child,",W62xc,"Child, Lydia Maria, 1802-1880."
Hallock Collection,"Letters of a traveller : or, Notes of things seen in Europe and America /",B91let v.1,"Bryant, William Cullen, 1794-1878."
Hallock Collection,Letters of a traveller. 2d series.,B91let v.2,"Bryant, William Cullen, 1794-1878."
Hallock Collection,"Letters of the Wordsworth family from 1787 to 1855,",W92le,"Wordsworth, William, 1770-1850."
Hallock Collection,Letters to various persons.,T48l,"Thoreau, Henry David, 1817-1862."
Hallock Collection,Liberty tree : with the last words of Grandfather's chair /,H39li,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,"Library essays about books, bibliophiles, writers, and kindred subjects,",T48wdyh,"Harper, Henry Howard, 1871-1953."
Hallock Collection,Library of practical medicine /,H75xm4,Massachusetts Medical Society.
Hallock Collection,Life and friendship : selected from the essays and diaries of Henry D. Thoreau /,T48li,"Thoreau, Henry David, 1817-1862."
Hallock Collection,"Life and letters of John Greenleaf Whittier,",W62yp,"Pickard, Samuel T. 1828-1915. (Samuel Thomas),"
Hallock Collection,Life and letters of Oliver Wendell Holmes.,H75ym,"Morse, John T., Jr. 1840-1937. (John Torrey),"
Hallock Collection,Life and works of Henry W. Longfellow.,L85yd,"Dexter, D. Gilbert, compiler."
Hallock Collection,Life of Franklin Pierce /,H39lif,"Hawthorne, Nathaniel, 1804-1864."
Hallock Collection,Life of George Washington /,I72li,"Irving, Washington, 1783-1859."
Hallock Collection,Life of Henry Wadsworth Longfellow : with extracts from his journals and correspondence /,L85yla,"Longfellow, Samuel, 1819-1892, author, editor."
Hallock Collection,"Life of Henry Wadsworth Longfellow,",L85yr,"Robertson, Eric S. (Eric Sutherland)"
Hallock Collection,"Life of Henry Wadsworth Longfellow, with extracts from his journals and correspondence;",L85yl,"Longfellow, Samuel, 1819-1892, editor."
Hallock Collection,Life of Nathaniel Hawthorne /,H39yc7,"Conway, Moncure Daniel, 1832-1907."
Hallock Collection,Life of Ralph Waldo Emerson /,E53yg,"Garnett, Richard, 1835-1906, author."
Hallock Collection,Lines composed a few miles above Tintern Abbey : on revisiting the banks of the Wye during a tour July 13th 1798 /,W92li,"Wordsworth, William, 1770-1850."
Hallock Collection,Lines to the Recorder.,H18li,"Halleck, Fitz-Greene, 1790-1867."
Hallock Collection,Liriche e poemetti /,W92poi,"Wordsworth, William, 1770-1850."
Hallock Collection,"Literary and social essays,",C978l,"Curtis, George William, 1824-1892."
Hallock Collection,Literary ethics.,E53oa,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Little Britain : together with the Spectre bridegroom & A legend of Sleepy Hollow /,I72it,"Irving, Washington, 1783-1859."
Hallock Collection,"Little essays from the works of Henry David Thoreau,",T48lit,"Thoreau, Henry David, 1817-1862."
Hallock Collection,Little-known sisters of well-known men /,P78l,"Pomeroy, Sarah Gertrude, 1882- author."
Hallock Collection,Lives of Mahomet and his successors.,I72m,"Irving, Washington, 1783-1859."
Hallock Collection,"Longfellow's Hyperion, Kavanagh, and the Trouveres /",L85hyc,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Longfellow's poetical works. : With 83 illustrations /,L85poei,"Longfellow, Henry Wadsworth, 1807-1882, author."
Hallock Collection,Love /,E53lo,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Lowell leaflets : poems and prose passages from the works of James Russell Lowell for reading and recitation /,L91lo,"Lowell, James Russell, 1819-1891, author."
Hallock Collection,Lyrical ballads : with a few other poems.,W92lye,"Wordsworth, William, 1770-1850."
Hallock Collection,"Lyrical ballads,",W92lyca,"Wordsworth, William, 1770-1850."
Hallock Collection,"Lyrical ballads, with other poems : in two volumes /",W92lyb,"Wordsworth, William, 1770-1850, author."
Hallock Collection,"Lyrical ballads, with pastoral and other poems : In two volumes. /",W92lyc,"Wordsworth, William, 1770-1850, author."
Hallock Collection,"Lyrical ballads, with pastoral and other poems.",W92lyaa,"Wordsworth, William, 1770-1850."
Hallock Collection,"Lyrics of loyalty,",M82l,"Moore, Frank, 1828-1904 editor."
Hallock Collection,Mabel Martin : a harvest idyl /,W62m,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,,W62ma,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,Mahomet and his successors.,I72ma,"Irving, Washington, 1783-1859."
Hallock Collection,Marjorie Daw /,A36mc,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,Marjorie Daw and other tales /,A36ma,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,"Marjorie Daw, and other people.",A36m,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,Marjorie Daw.,A36mb,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,Mark Twain : a biography : the personal and literary life of Samuel Langhorne Clemens /,C62yp,"Paine, Albert Bigelow, 1861-1937, author."
Hallock Collection,"Maud Muller,",W62mau,"Whittier, John Greenleaf, 1807-1892."
Hallock Collection,"May-day, and other pieces.",E53m,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,,E53ma,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Mechanism in thought and morals : an address delivered before the Phi Beta Kappa Society of Harvard University, June 29, 1870 : with notes and afterthoughts /",H75m,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,Melanie and other poems /,W73m,"Willis, Nathaniel Parker, 1806-1867."
Hallock Collection,Memoir of John Woolman : chiefly extracted from a journal of his life and travels.,W91m,"Woolman, John, 1720-1772."
Hallock Collection,Memoir of Nathaniel Hawthorne : with stories now first published in this country /,H39mm,"Hawthorne, Nathaniel, 1804-1864, author."
Hallock Collection,"Memoirs of Howard, compiled from his diary, his confidential letters, and other authentic documents. Abridged by a gentleman of Boston, from the London quarto edition.",E53xb8,"Brown, James Baldwin, 1785-1843."
Hallock Collection,Memoirs of Margaret Fuller Ossoli ...,E53xo8,"Fuller, Margaret, 1810-1850 author."
Hallock Collection,Memoirs of William Wordsworth /,W92yw9,"Wordsworth, Christopher, 1807-1885."
Hallock Collection,"Memoirs of William Wordsworth, compiled from authentic sources; with numerous quotations from his poems, illustrative of his life and character.",W92yp,"Phillips, George S. 1815-1889. (George Searle),"
Hallock Collection,Memoirs of members of the Social Circle in Concord :,E53ys67m,Social Circle in Concord.
Hallock Collection,"Memorial addresses on the life and character of Charles Sumner, (a senator of Massachusetts,) delivered in the Senate and House of representatives, Forty-third Congress, first session, April 27, 1874, with other congressional tributes of respect.",U58,"United States. Congress 1873-1874) (43rd, 1st session :"
Hallock Collection,"Memorial of Henry Sanford Gansevoort, captain Fifth artillery ... colonel Thirteenth New York state volunteer calvary ...",H67m,"Hoadley, J. C. 1818-1886, editor. (John Chipman),"
Hallock Collection,"Memorial of Jessie Willis: prepared for her little daughters, Annie, Blanche and Jessie,",B91xw7,"Willis, Richard Storrs, 1819-1900."
Hallock Collection,"Memorial of the commemoration by the Church of the Disciples, of the fiftieth birth-day of their pastor, James Freeman Clarke, April 4, 1860 ...",H75xb74,"Church of the Disciples (Boston, Mass.)"
Hallock Collection,"Memorial services in honor of Charles Sumner : at Music Hall, Wednesday, 29th April, 1874.",H75xb7,
Hallock Collection,"Memorial: Bunker Hill, 1775, June 17th, 1875.",H75xm5,
Hallock Collection,"Memorials of two friends, James Russell Lowell: 1819-1891, George William Curtis: 1824-1892.",L91ym,
Hallock Collection,"Memories of Hawthorne,",H39yl3a,"Lathrop, Rose Hawthorne, 1851-1926."
